Re,Co,Al,Ti,W,Mo,Cr,Ta,C,B,Nb,Hf
1.44,1,4.96,0,7.21,0.83,7.54,8.77,0.066,0.032,1.71,0.28
1.43,1.01,5.18,0,7,0.83,7.27,11.83,0.061,0.026,0,0.28
1.44,1.01,5.07,0,7.11,0.83,7.4,10.31,0.067,0.026,0.85,0.28
1.43,0.99,5.07,0,8.99,0.83,7.15,8.7,0.064,0.025,0.85,0.28
1.45,1,5.14,0,6.57,2.51,6.74,8.79,0.069,0.026,0.86,0.28
2.86,1.01,4.95,0,7.08,0.83,7.45,8.7,0.069,0.025,1.61,0.29
1.44,0.97,4.96,0,7.21,0.83,7.54,8.77,0.066,0.022,1.71,0.28
1.43,1.01,5.07,0,8.07,0.83,7.27,9.5,0.061,0.025,0.85,0.26
1.43,1.02,5.07,0,8.53,0.83,7.21,9.1,0.061,0.024,0.85,0.27
1.45,1.02,5.2,0,7.8,0.84,7.29,8.79,0.069,0.026,0.86,0.25
2.89,1.01,5.28,0,6.56,0.84,7.36,8.78,0.071,0.029,0.86,0.26
2.87,1.01,5.15,0,6.79,0.83,7.35,9.5,0.061,0.027,0.85,0.25
2.89,1.01,5.27,0,5.61,0.84,7.5,9.59,0.066,0.026,0.86,0.26
1.42,1,5.08,0,8.8,0.83,7.1,8.9,0.07,0.02,0.8,0.25
1.43,1,5.07,0,8.76,0.83,7.18,8.9,0.07,0.021,0.85,0.25
1.44,0,4.96,0,7.21,0.83,7.54,8.77,0.07,0.023,1.71,0.21
1.41,2.31,4.85,0,7.05,0.82,7.36,8.57,0.06,0.025,1.68,0.26
1.38,4.51,4.74,0,6.89,0.8,7.2,8.38,0.061,0.026,1.64,0.25
1.32,8.63,4.53,0,6.59,0.76,6.89,8.02,0.06,0.024,1.57,0.24
1.26,12.4,4.35,0,6.32,0.73,6.6,7.68,0.062,0.026,1.5,0.24
2.83,0.89,5.1,0,8.89,0.82,5.75,8.61,0.061,0.025,0.84,0.22
4.27,0.99,5.12,0,8.8,0.81,4.23,8.52,0.061,0.026,0.83,0.24
5.61,0.99,5.2,0,7.56,0.81,4.27,8.52,0.07,0.03,0.83,0.22
1.44,1.01,5.12,0,9,0.41,7.33,8.72,0.06,0.022,0.85,0.25
1.45,1.05,4.85,0,7.32,0.84,7.67,7.22,0.088,0.032,2.59,0.28
1.44,1.2,5.03,0.38,6.93,0.83,7.22,8.72,0.078,0.033,0.43,0.21
1.57,0.98,4.75,0,9.35,0.88,7.79,8.18,0.062,0.024,0.81,0.21
1.29,0.98,5.4,0,8.62,0.77,6.5,9.23,0.065,0.022,0.89,0.21
1.46,1.01,5.17,0,6.63,0.84,9.79,8.88,0.075,0.029,0.87,0.29
1.49,0.99,5.2,0,5.59,0,11.73,7.42,0.08,0.031,1.77,0.25
1.45,0.55,4.78,1.17,9.01,0.84,7.58,6.43,0.088,0.033,0.86,0.25
1.46,1.01,5.34,0,8.41,0.84,7.19,7.25,0.07,0.025,0.87,0.26
1.48,1.02,5.62,0,7.9,0.86,7.23,5.74,0.081,0.028,0.88,0.26
1.46,1,5.21,0,6.09,4.21,6.15,7.25,0.061,0.036,0.87,0.21
