,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
Australian.xls,-0.145497677,0.292317232,0.218236487,0.345863315,0.230160753,0.230625717,0.211263245
CastMetal.xls,-1,0.963574089,0.801591394,0.963574089,0.963574089,0.861915013,0.776816981
LED-display-domain-7digit.xls,0.734509107,0.516408707,0.516408707,0.492935109,0.506977718,0.436772605,0.493575215
SPECTF.xls,0.219590612,0.461257759,0.461030899,0.545098748,0.506937473,0.448637161,0.113631081
abalone.xls,0.778146694,0.534468787,0.629636266,0.778146694,0.543726721,0.584650816,0.58999043
analcatdata_apnea3.xls,0.105515487,0.557683855,0.557683855,0.549089732,0.503889777,0.457382328,0.356876338
analcatdata_authorship.xls,-1,0.262782729,0.253140138,0.382022785,0.234832389,0.206062969,0.05238775
analcatdata_chlamydia.xls,-1,0.232023216,0.197680767,0.202016689,0.246047422,0.197680767,0.119255695
analcatdata_dmft.xls,0.262834529,0.412719479,0.403268551,0.37740865,0.395403845,0.314481798,0.157709009
analcatdata_halloffame.xls,-1,0.541478662,0.546079455,0.714680819,0.522215108,0.491594886,0.270520934
analcatdata_seropositive.xls,-0.317926684,0.677061096,0.674076652,0.68089957,0.677061096,0.630668247,0.467307028
analcatdata_vineyard.xls,0.183893566,0.589328926,0.589315723,0.580602013,0.563633148,0.517383782,0.325970832
anneal.xls,0.063026246,0.83416627,0.83416627,0.83416627,0.83416627,0.513995561,0.83416627
arsenic-female-bladder.xls,-1,0.987079941,0.973990375,0.985409673,0.986605606,0.985703522,0.973434617
arsenic-female-lung.xls,-1,0.987079942,0.973990382,0.987086508,0.986605608,0.985703523,0.973434621
arsenic-male-bladder.xls,-1,0.989288714,0.972355192,0.986925688,0.988585146,0.988585146,0.972969579
arsenic-male-lung.xls,-0.943124861,0.989288715,0.972355194,0.989288715,0.988585146,0.988585146,0.972969579
audiology.xls,0.04303026,0.151779497,0.172563513,0.169271394,0.167695636,0.103826698,0.144819537
autoPrice.xls,-0.400761437,0.536188369,0.442323268,0.546187216,0.565667395,0.414125493,0.480655776
autoUniv-au6-1000.xls,-1,0.460168762,0.455006799,0.411823461,0.390715502,0.364691599,0.375928762
autoUniv-au6-750.xls,-1,0.459379659,0.455113012,0.441158466,0.40707088,0.391480147,0.381376619
autoUniv-au7-1100.xls,-1,0.695966463,0.69652205,0.662899621,0.686751899,0.617794261,0.541134691
autoUniv-au7-700.xls,-1,0.703920579,0.705089687,0.633306968,0.680572684,0.618921472,0.549039817
balance-scale.xls,0.153284406,0.22446011,0.197795028,0.19653557,0.160693356,0.156460728,0.158708948
banknote-authentication.xls,0.502410087,0.430831056,0.450548648,0.466621851,0.386297602,0.371391085,0.39062965
biomed.xls,-1,0.971759918,0.971759918,0.971759918,0.971759918,0.600783311,0.840919541
blood-transfusion-service-center.xls,0.09299774,0.902843745,0.750187646,0.899816111,0.902477193,0.685695669,0.886091139
bodyfat.xls,-1,0.44042735,0.782002871,0.782002871,0.411088407,0.338297925,0.782002871
breast-w.xls,0.525542094,0.575135936,0.542355358,0.548356735,0.555065114,0.470980656,0.200475688
car.xls,0.124075303,0.124075303,0.113025557,0.104578659,0.124075303,0.093296205,0.089761997
