,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,NumberOfOutliers,PercentageOfInstancesWithOutliers,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,LandmarkLDA,LandmarkNaiveBayes,LandmarkDecisionTree,LandmarkDecisionNodeLearner,LandmarkRandomNodeLearner,Landmark1NN,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC
Australian.xls,690,6.536691598,14,2.63905733,260,0.376811594,0,0,0,0,0,0,15,0,0,0,0.020289855,-3.897634268,49.28571429,3.897634268,0,0,0,0,0,-1.991378191,6.6616127,-0.066643589,2.374254798,-1.940495014,2.120880127,0.168511837,0.951492751,0.860914627,0.859297284,0.808545853,0.855095603,0.682716478,0.689669955,0.357142857,-0.6487551,0.46281287
CastMetal.xls,327,5.789960171,37,3.610917913,52,0.159021407,0,0,0,0,0,0,37,1,37,0.027027027,0.113149847,-2.179042258,8.837837838,2.179042258,0,0,0,0,0,-1.086645307,102.7197019,22.26505497,21.93951118,-0.450113952,9.209173203,3.557946174,1.915561693,0.853442513,0.816783645,0.813096034,0.871724599,0.871724599,0.800802139,0.027027027,102.70726,9.208489
LED-display-domain-7digit.xls,500,6.214608098,7,1.945910149,122,0.244,0,0,0,0,0,0,8,0,0,0,0.014,-4.268697949,71.42857143,4.268697949,0,0,0,0,0,-1.866060699,0.717000038,-1.118191733,0.82776508,-1.648332834,0.42530176,-0.724230796,0.597744278,0.748853611,0.695663773,0.71398597,0.208227257,0.21027051,0.607535885,1,-0.7302413,0.5004597
SPECTF.xls,349,5.855071922,44,3.784189634,127,0.363896848,0,0,0,0,0,0,45,0,0,0,0.126074499,-2.070882288,7.931818182,2.070882288,0,0,0,0,0,1.009775546,19.87694826,5.68327587,4.209667575,-3.251699924,-0.894554615,-1.813168023,0.609733674,0.773389356,0.724449113,0.893972923,0.71914099,0.727964519,0.884337068,0.545454545,2.9934502,1.792001
abalone.xls,4178,8.337587942,8,2.079441542,1070,0.256103399,0,0,0,0,0,0,8,1,8,0.125,0.001914792,-6.2581464,522.25,6.2581464,3,3,3,0,3,-0.047236797,75.88226824,11.00992552,26.48511726,-0.639391422,3.125698566,0.619920007,1.158407407,0.259013059,0.236346056,0.198074966,0.205693037,0.163288497,0.203093059,0.25,-1.5067099,0.12229586
analcatdata_apnea3.xls,450,6.109247583,3,1.098612289,215,0.477777778,0,0,0,0,0,0,1,3,0.333333333,3,0.006666667,-5.010635294,150,5.010635294,5,5,5,0,10,-1.207430312,-1.207430312,-1.207430312,0,0,0,0,0,0.877964427,0.877964427,0.843774704,0.806225296,0.877964427,0.806027668,1,-1.2074302,0
analcatdata_authorship.xls,841,6.73459166,70,4.248495242,286,0.340071344,0,0,0,0,0,0,70,1,70,0.014285714,0.083234245,-2.486096418,12.01428571,2.486096418,0,0,0,0,0,-0.792696848,21.09857661,2.338001114,3.612692828,-0.040636204,4.079894066,1.112712964,0.676602981,0.996428234,0.983468385,0.935928542,0.558989449,0.469090193,0.988121911,0.471428571,-0.25798845,0.7186577
analcatdata_chlamydia.xls,100,4.605170186,3,1.098612289,42,0.42,0,0,0,0,0,0,0,4,0,0,0.03,-3.506557897,33.33333333,3.506557897,2,10,5.666666667,3.299831646,17,0,0,0,0,0,0,0,0,0.831616162,0.880707071,0.930909091,0.810707071,0.810707071,0.832727273,0.666666667,-1.2242423,0
analcatdata_dmft.xls,797,6.680854679,4,1.386294361,70,0.08782936,0,0,0,0,0,0,2,3,0.666666667,1.5,0.005018821,-5.294560318,199.25,5.294560318,2,3,2.5,0.5,5,-1.194092264,-0.559458237,-0.876775251,0.317317013,0.20069854,0.652292252,0.426495396,0.225796856,0.219999839,0.205039816,0.18010409,0.190930407,0.177257154,0.174105428,0.75,-1.0750741,0.22396874
analcatdata_halloffame.xls,1340,7.200424893,17,2.833213344,426,0.317910448,0,0,0,0,0,0,14,4,3.5,0.285714286,0.012686567,-4.367211549,78.82352941,4.367211549,7,1339,689.6666667,544.2973044,2069,0.246973666,7.998074458,2.028513269,2.105751419,-1.864301085,2.46287775,0.781860953,0.943707291,0.945502646,0.878434976,0.923920913,0.914246728,0.90673907,0.91561682,0.117647059,0.3018272,0.61762387
analcatdata_seropositive.xls,132,4.882801923,3,1.098612289,49,0.371212121,0,0,0,0,0,0,2,2,1,1,0.022727273,-3.784189634,44,3.784189634,3,3,3,0,3,-1.20124031,1.888952202,0.343855946,1.545096256,0,1.547720909,0.773860455,0.773860455,0.876190476,0.877380952,0.805952381,0.85,0.766666667,0.804761905,0.333333333,1.8810959,1.5456941
analcatdata_vineyard.xls,468,6.148468296,3,1.098612289,122,0.260683761,0,0,0,0,0,0,3,1,3,0.333333333,0.006410256,-5.049856007,156,5.049856007,0,0,0,0,0,-1.229999973,-1.20088821,-1.215057966,0.011897365,0,0,0,0,0.553376503,0.658186864,0.558140611,0.618177613,0.536447734,0.622340426,0.333333333,-1.2023947,-9.03E-09
anneal.xls,898,6.800170068,38,3.63758616,107,0.119153675,0,0,0,0,0,0,7,32,0.21875,4.571428571,0.042316258,-3.162583909,23.63157895,3.162583909,1,8,2.419354839,1.454119699,75,-0.973652362,15.88848239,6.225935541,6.723449828,0.072868697,4.217223644,2.336970584,1.454623686,0.935694564,0.615771972,0.992233609,0.771801738,0.771840081,0.927713857,0.052631579,-0.21992779,1.2622011
arsenic-female-bladder.xls,559,6.326149473,4,1.386294361,9,0.016100179,0,0,0,0,0,0,4,1,4,0.25,0.007155635,-4.939855112,139.75,4.939855112,0,0,0,0,0,-1.214285714,105.8380956,25.59151365,46.33042712,0,9.651288033,2.52288644,4.119507361,0.860519481,0.869383117,0.568993506,0.856883117,0.797954545,0.683149351,0.25,105.83813,9.651289
arsenic-female-lung.xls,559,6.326149473,4,1.386294361,9,0.016100179,0,0,0,0,0,0,4,1,4,0.25,0.007155635,-4.939855112,139.75,4.939855112,0,0,0,0,0,-1.214285714,105.8380956,25.59151365,46.33042712,0,9.651288033,2.52288644,4.119507361,0.983896104,0.983896104,0.875909091,0.921396104,0.921396104,0.982045455,0.25,105.83813,9.651289
arsenic-male-bladder.xls,559,6.326149473,4,1.386294361,11,0.019677996,0,0,0,0,0,0,4,1,4,0.25,0.007155635,-4.939855112,139.75,4.939855112,0,0,0,0,0,-1.214285714,104.0734256,25.15034614,45.56630329,0,9.600136757,2.510098621,4.097379414,0.974737981,0.97476931,0.772791638,0.892313169,0.892313169,0.899556277,0.25,104.073425,9.600137
arsenic-male-lung.xls,559,6.326149473,4,1.386294361,11,0.019677996,0,0,0,0,0,0,4,1,4,0.25,0.007155635,-4.939855112,139.75,4.939855112,0,0,0,0,0,-1.214285714,104.0734256,25.15034614,45.56630329,0,9.600136757,2.510098621,4.097379414,0.992727273,1,0.954385965,0.954385965,0.954385965,0.998181818,0.25,104.073425,9.600137
audiology.xls,226,5.420534999,69,4.234106505,78,0.345132743,0,0,0,0,0,0,0,70,0,0,0.305309735,-1.186428495,3.275362319,1.186428495,2,7,2.333333333,0.942809042,161,0,0,0,0,0,0,0,0,0.772088621,0.676942826,0.76285628,0.495640414,0.274261465,0.629214716,0.246376812,-0.54717636,0.43073812
autoPrice.xls,159,5.068904202,15,2.708050201,55,0.34591195,0,0,0,0,0,0,15,1,15,0.066666667,0.094339623,-2.360854001,10.6,2.360854001,0,0,0,0,0,-0.83501551,5.509808333,0.886852557,1.564640106,-0.983349919,2.684605122,0.621462793,0.786795726,0.935686275,0.943137255,0.894509804,0.944387255,0.880073529,0.87254902,0.133333333,0.34795213,0.47017196
autoUniv-au6-1000.xls,1000,6.907755279,40,3.688879454,355,0.355,0,0,0,0,0,0,37,4,9.25,0.108108108,0.04,-3.218875825,25,3.218875825,2,3,2.333333333,0.471404521,7,-1.455707877,0.690909706,-0.796901301,0.598231047,-1.083466172,1.340017438,-0.045773089,0.51994114,0.177912096,0.22207229,0.20568581,0.284831753,0.239086855,0.167748891,0.05,-1.1545871,0.30584252
autoUniv-au6-750.xls,750,6.620073207,40,3.688879454,258,0.344,0,0,0,0,0,0,37,4,9.25,0.108108108,0.053333333,-2.931193752,18.75,2.931193752,2,3,2.333333333,0.471404521,7,-1.448444663,1.086368184,-0.769972278,0.624474302,-1.164031982,1.419610023,-0.027486694,0.537133469,0.222661474,0.219679062,0.223015723,0.209568618,0.214844166,0.128667637,0.05,-1.1345731,0.276771
autoUniv-au7-1100.xls,1100,7.003065459,12,2.48490665,300,0.272727273,0,0,0,0,0,0,8,5,1.6,0.625,0.010909091,-4.518158809,91.66666667,4.518158809,2,3,2.5,0.5,10,-1.572680889,-0.997515935,-1.379912443,0.176520952,-0.347500175,0.346042007,0.062753485,0.183212113,0.332732635,0.341057324,0.334089642,0.307664889,0.277275409,0.238089648,0.083333333,-1.4430794,-0.13808396
autoUniv-au7-700.xls,700,6.551080335,12,2.48490665,168,0.24,0,0,0,0,0,0,8,5,1.6,0.625,0.017142857,-4.066173685,58.33333333,4.066173685,2,3,2.5,0.5,10,-1.526001909,-1.082236591,-1.311930285,0.137834844,-0.418414235,0.731690109,0.006336239,0.354617487,0.422722664,0.442582378,0.459908217,0.43561898,0.341392923,0.394266225,0.083333333,-1.2802557,0.33349523
balance-scale.xls,625,6.43775165,4,1.386294361,0,0,0,0,0,0,0,0,4,1,4,0.25,0.0064,-5.051457289,156.25,5.051457289,0,0,0,0,0,-1.299999952,-1.299999952,-1.299999952,0,0,0,0,0,0.854290919,0.840798855,0.678001561,0.451298465,0.460822274,0.710913349,1,-0.8700578,8.63E-09
banknote-authentication.xls,1372,7.224024808,4,1.386294361,414,0.301749271,0,0,0,0,0,0,5,0,0,0,0.002915452,-5.837730447,343,5.837730447,0,0,0,0,0,-0.753215095,1.261480795,0.139897411,0.792994712,-1.021125078,1.087378025,-0.11916101,0.765757145,0.976674072,0.841076907,0.985417328,0.839617053,0.839617053,0.999270073,0.75,0.09902382,0.7081183
biomed.xls,209,5.342334252,8,2.079441542,32,0.153110048,0,0,0,0,0,0,6,3,2,0.5,0.038277512,-3.26289271,26.125,3.26289271,120,126,123,3,246,-1.035129236,23.49612506,8.514292718,10.230113,-0.11572089,4.360892296,1.989666225,1.74453524,0.847316017,0.875714286,0.852077922,0.791212121,0.641450216,0.976147186,0.125,-0.8282802,0.11572059
blood-transfusion-service-center.xls,748,6.617402978,4,1.386294361,11,0.014705882,0,0,0,0,0,0,5,0,0,0,0.005347594,-5.231108617,187,5.231108617,0,0,0,0,0,-0.252002492,15.76221635,10.1482769,6.555214775,0.74794662,3.20482254,2.258570492,1.026961809,0.770054054,0.747351351,0.632486486,0.762054054,0.762054054,0.569963964,0.25,15.759111,3.2044454
