,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
dataset_9_autos.xls,-1,0.628487682,0.609319808,0.606527896,0.628648768,0.610579343,0.55508083
delta_ailerons.xls,0.985276089,0.985276089,0.985276089,0.985276089,0.985276089,0.985276089,0.260269376
diabetes.xls,-1,0.568767953,0.723597737,0.785917577,0.553246703,0.528143903,0.227444846
disclosure_x_bias.xls,-0.267200246,0.467763068,0.440849048,0.536091022,0.44926798,0.40902162,0.242977758
disclosure_x_tampered.xls,-0.26419346,0.411426456,0.386906713,0.291012786,0.395030431,0.320220665,0.24168552
disclosure_z.xls,-0.248687537,0.471745327,0.445036275,0.531816472,0.45766792,0.41145292,0.24224854
dresses-sales.xls,0.349181495,0.349181495,0.349181495,0.349181495,0.349181495,0.124340094,0.042503863
ecoli.xls,0.722268698,0.722268698,0.722268698,0.722268698,0.722268698,0.722268698,0.461918256
elusage.xls,0.234159357,0.605329899,0.605329899,0.605329899,0.601449473,0.517945239,0.49300777
eucalyptus.xls,0.907706805,0.916170133,0.842863562,0.916170133,0.916170133,0.548691572,0.87599842
fri_c0_500_10.xls,0.129922134,0.097279601,0.067820978,0.129922134,0.073939491,0.056923654,0.083629399
fri_c0_500_5.xls,0.208231134,0.1969434,0.179454206,0.190167991,0.162002559,0.156567459,0.189726374
fri_c0_500_50.xls,-1,0.022405271,0.044181771,0.038871802,0.016312614,0.002465618,0.000228328
fri_c2_250_50.xls,-1,0.036086663,0.093735268,0.093735268,0.029266174,0.017155082,0.004700084
fri_c2_500_25.xls,0.044878583,0.070540881,0.143355473,0.108880644,0.052756424,0.030475605,0.01560256
fri_c3_100_5.xls,0.35669422,0.397502321,0.397502321,0.379552602,0.352116763,0.390448618,0.384648696
fri_c3_500_10.xls,0.319192795,0.197246102,0.247812964,0.234270305,0.16892544,0.143555206,0.111348332
fri_c3_500_25.xls,0.026339095,0.084171751,0.075377415,0.099845285,0.053379981,0.043745437,0.019263227
fri_c4_100_50.xls,-1,0.054193305,0.039084371,0.091065478,0.054960527,0.024729018,0.006819923
fri_c4_250_50.xls,-1,0.043099183,0.101177988,0.088181573,0.034955361,0.022220273,0.01262752
hutsof99_logis.xls,-0.036016138,0.601802917,0.59095164,0.600654495,0.598660333,0.598660333,0.578987977
ilpd.xls,-0.677669322,0.857252745,0.67851845,0.934461997,0.925596557,0.774869506,0.610139291
irish.xls,0.324888184,0.54535051,0.522369803,0.542736599,0.543253723,0.49867753,0.407907883
kc1.xls,0.10409784,0.919479534,0.841170524,0.968529553,0.918119762,0.903375203,0.868269836
kc2.xls,-0.091783151,0.980832818,0.867932082,0.974465529,0.978074288,0.972474551,0.810930984
kdd_el_nino-small.xls,-0.316361163,0.886005089,0.886005089,0.886005089,0.886005089,0.707384254,0.568008959
labor.xls,-1,0.155618861,0.119861063,0.153945853,0.166915,0.068203333,0.134027675
lowbwt.xls,-0.332548857,0.621560223,0.641694953,0.683553769,0.621560223,0.526859518,0.367876821
mc2.xls,-0.605312033,0.914157075,0.774114651,0.914157075,0.914157075,0.896563994,0.815923738
meta_ensembles.xls,-1,0.976839333,0.976839333,0.976839333,0.976839333,0.848709943,0.821723718
mfeat-morphological.xls,-0.094481844,0.658228406,0.647173851,0.602974834,0.592601913,0.597333109,0.657337257
monks-problems-1.xls,0.148847923,0.22824406,0.22824406,0.149136689,0.201579928,0.179691373,0.141097897
monks-problems-2.xls,0.293556542,0.221970362,0.191324024,0.170004898,0.173478508,0.160762389,0.15791078
monks-problems-3.xls,0.144469166,0.228536423,0.213968014,0.190075515,0.19185957,0.199659034,0.138558285
mu284.xls,-1,0.95081852,0.8847657,0.95081852,0.95081852,0.720144864,0.717800827
no2.xls,-0.292362529,0.743821132,0.744093092,0.66131119,0.737799597,0.648511608,0.379777884
pasture.xls,-1,0.636054003,0.636054003,0.636054003,0.636054003,0.499916084,0.494241061
pc1.xls,-0.457655619,0.98774765,0.85604421,0.985272632,0.985272632,0.980448169,0.843409042
pc3.xls,-0.656990346,0.995658995,0.905774534,0.995658995,0.995658995,0.987346025,0.864820376
pc4.xls,-0.623287848,0.931071983,0.828318756,0.975882036,0.881460777,0.922261068,0.875600295
plasma_retinol.xls,-1,0.492433228,0.457027361,0.704526301,0.343799689,0.343799689,0.329753405
prnn_synth.xls,0.605000931,0.640303495,0.640303495,0.638835415,0.613546645,0.605000931,0.386988652
profb.xls,-0.428271025,0.263813067,0.353748786,0.439695519,0.227505724,0.218213029,0.189898653
qsar-biodeg.xls,-0.147532586,0.38818672,0.511234193,0.861624659,0.302173795,0.307953754,0.598244114
rabe_131.xls,-1,0.562884392,0.562894788,0.557040251,0.553462835,0.547785251,0.494346403
rabe_266.xls,-1,0.512964184,0.512964184,0.512964184,0.462784579,0.401263146,0.367202956
segment.xls,-0.28412144,0.455526612,0.661555907,0.877054965,0.468699157,0.485417097,0.49563326
sleuth_ex1221.xls,-1,0.765022091,0.732940982,0.799838674,0.765022091,0.725496219,0.73965088
socmob.xls,0.799626321,0.885150462,0.828970338,0.959338466,0.897398718,0.8578537,0.845618127
spectrometer.xls,-1,0.44075977,0.534642931,0.679412491,0.433701213,0.432496845,0.595857852
steel-plates-fault.xls,-1,0.687771454,0.573526554,0.823878001,0.679234277,0.636679845,0.798572561
stock.xls,0.215592497,0.497893801,0.498076052,0.495391225,0.495391225,0.473080718,0.414427768
strikes.xls,-0.437654796,0.935496042,0.746905897,0.935496042,0.935496042,0.767671156,0.778501523
synthetic_control.xls,-1,0.421919196,0.421121707,0.421919196,0.421919196,0.393635379,0.295083043
tic-tac-toe.xls,-1,0.142562958,0.156356725,0.128784167,0.133012723,0.068366402,0.054352289
transplant.xls,0.098012706,0.615378125,0.615378125,0.58311954,0.597133886,0.5690434,0.505791701
triazines.xls,0.325112453,0.408271944,0.404813858,0.402416031,0.42818202,0.293836973,0.413439675
vehicle.xls,-0.19991802,0.673498023,0.671529016,0.66341021,0.65554365,0.548420411,0.266750556
vinnie.xls,0.919878368,0.515844108,0.483955013,0.46948767,0.519842341,0.421375109,0.372377378
visualizing_environmental.xls,-1,0.602528954,0.602528954,0.602528954,0.602528954,0.462435769,0.431646889
visualizing_ethanol.xls,0.575219689,0.643682342,0.596903563,0.62704031,0.641041308,0.523437912,0.412301473
visualizing_soil.xls,0.636410978,0.589873184,0.577529497,0.626321544,0.553658267,0.55557496,0.342045851
