,dbscan,kmeans,meanshift,agglomerative,ward,birch,affinity
dataset_9_autos.xls,-1,0.000161086,0.01932896,0.022120872,0,0.018069424,0.073567937
delta_ailerons.xls,0,0,0,0,0,0,0.725006713
diabetes.xls,-1,0.217149623,0.06231984,0,0.232670873,0.257773674,0.558472731
disclosure_x_bias.xls,0.803291269,0.068327954,0.095241975,0,0.086823042,0.127069403,0.293113265
disclosure_x_tampered.xls,0.675619916,0,0.024519742,0.12041367,0.016396025,0.09120579,0.169740935
disclosure_z.xls,0.780504009,0.060071145,0.086780197,0,0.074148552,0.120363552,0.289567932
dresses-sales.xls,0,0,0,0,0,0.224841401,0.306677632
ecoli.xls,0,0,0,0,0,0,0.260350442
elusage.xls,0.371170542,0,0,0,0.003880426,0.087384661,0.11232213
eucalyptus.xls,0.008463328,0,0.07330657,0,0,0.367478561,0.040171713
fri_c0_500_10.xls,0,0.032642533,0.062101156,0,0.055982643,0.07299848,0.046292735
fri_c0_500_5.xls,0,0.011287734,0.028776929,0.018063143,0.046228575,0.051663675,0.01850476
fri_c0_500_50.xls,-1,0.0217765,0,0.005309968,0.027869157,0.041716153,0.043953443
fri_c2_250_50.xls,-1,0.057648605,0,0,0.064469094,0.076580186,0.089035184
fri_c2_500_25.xls,0.09847689,0.072814592,0,0.03447483,0.09059905,0.112879869,0.127752913
fri_c3_100_5.xls,0.040808101,0,0,0.01794972,0.045385559,0.007053704,0.012853625
fri_c3_500_10.xls,0,0.121946693,0.071379831,0.08492249,0.150267354,0.175637589,0.207844463
fri_c3_500_25.xls,0.07350619,0.015673534,0.02446787,0,0.046465304,0.056099848,0.080582058
fri_c4_100_50.xls,-1,0.036872172,0.051981106,0,0.036104951,0.06633646,0.084245555
fri_c4_250_50.xls,-1,0.058078804,0,0.012996415,0.066222627,0.078957714,0.088550468
hutsof99_logis.xls,0.637819055,0,0.010851277,0.001148422,0.003142584,0.003142584,0.02281494
ilpd.xls,1.612131319,0.077209253,0.255943547,0,0.00886544,0.159592491,0.324322706
irish.xls,0.220462327,0,0.022980708,0.002613911,0.002096787,0.046672981,0.137442627
kc1.xls,0.864431713,0.049050019,0.12735903,0,0.050409791,0.06515435,0.100259718
kc2.xls,1.07261597,0,0.112900737,0.006367289,0.00275853,0.008358267,0.169901834
kdd_el_nino-small.xls,1.202366252,0,0,0,0,0.178620835,0.31799613
labor.xls,-1,0.011296139,0.047053937,0.012969147,0,0.098711667,0.032887325
lowbwt.xls,1.016102626,0.061993546,0.041858816,0,0.061993546,0.156694251,0.315676948
mc2.xls,1.519469108,0,0.140042424,0,0,0.017593081,0.098233338
meta_ensembles.xls,-1,0,0,0,0,0.128129391,0.155115615
mfeat-morphological.xls,0.75271025,0,0.011054555,0.055253572,0.065626493,0.060895297,0.00089115
monks-problems-1.xls,0.079396137,0,0,0.079107371,0.026664133,0.048552687,0.087146163
monks-problems-2.xls,0,0.07158618,0.102232517,0.123551644,0.120078034,0.132794152,0.135645761
monks-problems-3.xls,0.084067257,0,0.014568408,0.038460908,0.036676853,0.028877389,0.089978138
mu284.xls,-1,0,0.06605282,0,0,0.230673657,0.233017693
no2.xls,1.03645562,0.00027196,0,0.082781902,0.006293495,0.095581483,0.364315207
pasture.xls,-1,0,0,0,0,0.136137919,0.141812942
pc1.xls,1.445403269,0,0.13170344,0.002475018,0.002475018,0.007299482,0.144338608
pc3.xls,1.652649341,0,0.089884461,0,0,0.00831297,0.130838619
pc4.xls,1.599169884,0.044810053,0.14756328,0,0.094421258,0.053620968,0.100281741
plasma_retinol.xls,-1,0.212093074,0.24749894,0,0.360726612,0.360726612,0.374772897
prnn_synth.xls,0.035302565,0,0,0.001468081,0.02675685,0.035302565,0.253314843
profb.xls,0.867966545,0.175882452,0.085946733,0,0.212189795,0.221482491,0.249796866
qsar-biodeg.xls,1.009157245,0.473437939,0.350390466,0,0.559450863,0.553670905,0.263380545
rabe_131.xls,-1,1.04E-05,0,0.005854537,0.009431952,0.015109537,0.068548385
rabe_266.xls,-1,0,0,0,0.050179605,0.111701038,0.145761228
segment.xls,1.161176404,0.421528352,0.215499058,0,0.408355807,0.391637868,0.381421705
sleuth_ex1221.xls,-1,0.034816583,0.066897693,0,0.034816583,0.074342455,0.060187794
socmob.xls,0.159712145,0.074188004,0.130368127,0,0.061939747,0.101484766,0.113720339
spectrometer.xls,-1,0.238652721,0.14476956,0,0.245711278,0.246915647,0.08355464
steel-plates-fault.xls,-1,0.136106548,0.250351448,0,0.144643724,0.187198156,0.025305441
stock.xls,0.282483555,0.000182251,0,0.002684827,0.002684827,0.024995334,0.083648283
strikes.xls,1.373150838,0,0.188590145,0,0,0.167824886,0.156994519
synthetic_control.xls,-1,0,0.000797489,0,0,0.028283817,0.126836152
tic-tac-toe.xls,-1,0.013793766,0,0.027572558,0.023344001,0.087990323,0.102004436
transplant.xls,0.517365419,0,0,0.032258586,0.018244239,0.046334726,0.109586424
triazines.xls,0.103069567,0.019910076,0.023368162,0.025765989,0,0.134345047,0.014742345
vehicle.xls,0.873416043,0,0.001969007,0.010087813,0.017954373,0.125077613,0.406747467
vinnie.xls,0,0.40403426,0.435923355,0.450390697,0.400036027,0.498503259,0.54750099
visualizing_environmental.xls,-1,0,0,0,0,0.140093185,0.170882065
visualizing_ethanol.xls,0.068462653,0,0.046778779,0.016642032,0.002641034,0.12024443,0.231380869
visualizing_soil.xls,0,0.046537794,0.058881481,0.010089434,0.08275271,0.080836018,0.294365126
volcanoes-a2.xls,0.6328175,0,0.013713203,0.055974896,0.068206097,0.074202785,0.055794509
volcanoes-a3.xls,0.699281588,0,0.004739656,0.064726798,0.05374502,0.071318174,0.052556476
vowel.xls,0,0.432916527,0.263496141,0.43817724,0.427000195,0.482708568,0.025536244
wdbc.xls,-1,0.101722456,0.142148617,0,0.10900744,0.290733439,0.078522003
wisconsin.xls,-1,0.058329159,5.69E-05,0,0.064775097,0.113441515,0.210731336
