01_AAV,02_VPA,03_LLSD,04_AASD,05_LASD,06_LNC,07_SDLC,08_SNC,09_LLB,10_LBI,11_SDLI,12_SBI,13_ENS,14_AFC,15_PF,16_SPF,17_SLPW,18_SLPE,19_RBI,20_RNC,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_length_a,_cell_length_b,_cell_length_c,Vcell,space_group_num,RadofGyration,arrange_density,avg_radius_Li_nonLi,avg_radius_frame_anions_all_atoms,EO,Li_C,avg_anion_charge,avg_cation_charge,avg_nonLi_charge,avg_frame_anion_charge,avg_charge,avg_anion_electronegativity,avg_cation_electronegativity,avg_fram_anion_electronegativity,avg_electronegativity,avg_anion_radius2,avg_cantion_radius2,avg_fram_anion_radius2,avg_nonLi_radius2,avg_radius2,bvse_3
15.03,43.21,2.3,3.12,1.98,17.57,2.26,17.75,9.45,1.43,1.13,1.5,3.27,4,0.37,0.06,0.67,2.32,0.95,0.99,90,90,90,6.29,10.77,5.11,345.72,62,7.65,0.82,0.46,0.26,0.42,0.04,2,3.5,4,-1,1.78,3.44,1.78,3.44,1.97,1.23,0.67,1.23,1.04,0.86,1.3574
11.86,22.98,1.93,3.21,1.9,21.95,2.19,23.41,9.24,1.75,1.08,1.14,3.38,12,0.4,0.1,0.77,2.48,1.53,0.94,90,90,90,11.05,6.35,5.24,367.74,62,7.89,1.46,0.34,0.18,0.41,0.04,2,3.5,4,-1,1.68,3.44,1.67,3.44,2.29,1.23,0.72,1.23,1.19,0.98,0.4883
11.11,22.21,1.85,3.17,1.95,24.08,2.03,24.73,10,1.63,1.11,1.2,3.24,12,0.44,0.13,0.87,2.56,1.35,0.97,90,90,90,10.93,6.3,5.16,355.44,62,7.74,1.28,0.33,0.19,0.36,0.04,2,3,3.5,-1,1.75,3.44,1.31,3.44,2.25,1.24,0.7,1.24,1.15,0.97,0.6738
13.38,21.74,3.33,3.15,2.14,17.47,1.41,19.84,0.73,1.79,0.82,0.85,2.96,12,0.28,0.2,0.37,2.06,2.1,0.88,90,90,90,10.83,6.25,5.14,347.9,62,7.67,2.19,0.26,0.16,0.33,0.01,2,2.33,2.67,-1,2.19,3.44,1.55,3.44,2.73,1.22,0.66,1.22,1.04,1.01,0.8203
10.98,21.96,1.83,3.16,1.86,23.4,3.1,24.55,10.25,1.69,1.12,1.23,3.33,12,0.43,0.09,0.63,2.4,1.37,0.95,90,90,90,10.9,6.25,5.16,351.29,62,7.77,1.17,0.34,0.19,0.41,0.04,2,3,3.5,-1,1.63,3.44,1.31,3.44,2.23,1.24,0.72,1.24,1.19,0.98,0.7617
11.94,19.9,3.16,2.83,1.95,23.33,2.15,18.82,2.67,1.84,0.87,0.96,2.97,8.5,0.4,0.29,0.57,3.44,1.92,1.24,90,90,90.02,8.85,12.27,8.8,955.25,14,10.08,1.66,0.33,0.2,0,0.01,2,3,3.33,-1,2.4,3.44,1.51,3.44,2.68,1.22,0.61,1.22,1.02,0.98,1.2793
10.65,21.3,3.05,3.12,1.95,26,0,26,8,1.68,1.05,1.24,3.08,12,0.53,0.22,0.63,3.44,1.35,1,90,90,90,6.33,5.45,4.95,170.43,31,5.47,1.59,0.31,0.21,0,0.04,2,3,3.5,-1,2,3.44,1.31,3.44,2.29,1.24,0.67,1.24,1.09,0.96,0.8594
9.6,21.6,2.4,3.16,1.95,29,2.07,30,11,1.64,1.05,1.26,3.15,12,0.54,0.14,0.91,3.44,1.31,0.97,90,90,90,7.77,7.36,6.05,345.61,63,6.41,1.9,0.31,0.22,0,0.05,2,2.5,3,-1,1.78,3.44,1.5,3.44,2.19,1.24,0.69,1.24,1.1,0.93,0.9863
9.22,20.75,2.08,3.11,1.98,30.29,0.86,30.3,12.42,1.59,1.08,1.29,3.13,12,0.53,0.13,0.78,2.26,1.23,1,90,90.33,90,5.15,6.09,5.29,166.02,11,5.52,1.44,0.36,0.25,0.33,0.05,2,2.5,3,-1,1.78,3.44,1.44,3.44,2.18,1.25,0.66,1.25,1.08,0.92,0.8301
20.15,39.45,2.79,3.76,2.49,11.23,0.93,13.79,4,1.2,0.65,0.62,2.54,10.33,0.32,0.14,0.85,2.24,1.92,0.81,90,90,90,8.68,8.68,12.56,946.83,137,8.95,1.06,0.73,0.34,0.2,0.02,2,3,3.5,-1,1.75,2.58,1.58,2.58,1.86,1.7,0.71,1.7,1.55,1.2,1.2109
18.41,36.83,3.58,3.75,2.34,17,0,16.2,8,0.99,0.68,0.51,2.5,12,0.35,0.17,0.47,2.58,1.92,1.05,90,90,90,7.55,6.45,6.05,294.62,31,6.41,1.22,0.61,0.26,0,0.02,2,3,3.5,-1,2,2.58,1.59,2.58,1.93,1.7,0.63,1.7,1.42,1.16,1.5918
20.44,40.03,2.82,3.81,2.5,11.6,1.21,13.21,3.92,1.21,0.63,0.64,2.52,11,0.32,0.14,0.62,1.95,1.89,0.88,90,90,90,8.72,8.72,12.64,960.83,137,8.98,1.07,0.71,0.36,0.21,0.02,2,3,3.5,-1,1.85,2.58,1.58,2.58,1.9,1.7,0.68,1.7,1.5,1.2,1.1523
19.75,37.7,2.92,3.65,2.28,13,1.75,13.36,3.14,1.29,0.54,0.61,2.5,9.27,0.31,0.16,0.69,2.35,2.11,0.97,102.85,113.2,74.47,12.5,6.03,12.53,829.35,2,9.34,1.19,0.69,0.38,0,0.02,2,3,3.5,-1,2.1,2.58,1.59,2.58,1.99,1.7,0.6,1.7,1.4,1.18,0.791
11.09,18.49,3.07,2.77,1.89,24.67,1.78,22.12,2.67,1.93,0.78,0.87,3.03,8.58,0.34,0.22,0.68,3.44,2.21,1.12,90,90,90.52,8.57,12.02,8.62,887.39,14,9.82,1.88,0.34,0.22,0,0.01,2,3,3.33,-1,2.4,3.44,1.67,3.44,2.72,1.23,0.57,1.23,1.01,0.97,0.8691
14.04,21.05,3.51,2.83,1.91,21.09,0.5,15.87,0.34,1.9,0.82,0.87,2.97,8.42,0.32,0.29,0.38,1.75,2.17,1.33,89.66,123.91,90.43,15.07,8.86,9.12,1010.53,2,9.46,1.88,0.32,0.21,0.05,0,2,3.33,3.67,-1,2.67,3.44,1.5,3.44,2.86,1.21,0.56,1.21,1.01,1,1.0059
12.67,23.23,2.09,3.21,1.63,20.62,1.4,20.12,2.62,1.71,1.01,1.07,2.86,11,0.68,0.54,0.57,2.79,1.59,1.03,90,90,90,13.07,13.07,13.07,2230.22,230,12.5,3.81,0.31,0.12,0.2,0.02,2,3,3.33,-1,2.18,3.44,1.37,3.44,2.43,1.24,0.94,1.24,1.21,1.1,0.6543
11.9,21.82,1.94,3,1.9,25.58,5.66,21.04,4.46,1.54,1.1,0.97,2.81,9,0.76,0.6,0.66,1.23,1.58,1.22,90,90,90,12.79,12.79,12.79,2094.36,230,12.23,3.17,0.3,0.13,0.32,0.02,2,3,3.33,-1,2.18,3.44,1.23,3.44,2.4,1.24,0.91,1.24,1.2,1.09,0.6934
11.93,21.88,1.96,3,1.9,25.29,5.53,20.98,4.36,1.53,1.11,0.97,2.8,9,0.76,0.61,0.6,1.09,1.58,1.21,90,90,90,12.81,12.81,12.81,2100.37,230,12.21,3.83,0.3,0.13,0.32,0.02,2,3,3.33,-1,2.18,3.44,1.19,3.44,2.38,1.24,0.91,1.24,1.2,1.09,0.791
12.49,22.89,1.72,3.18,1.83,21.81,3.39,19.21,5.32,1.59,1.11,1.01,2.89,11,0.64,0.48,0.75,1.76,1.58,1.13,90,90,90,13,13,13,2197.51,230,12.58,3.24,0.31,0.14,0.38,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.38,1.25,0.86,1.25,1.2,1.07,0.6934
12.01,22.14,1.78,3,1.85,23.03,4.41,20.64,5,1.6,1.1,0.99,2.89,9,0.67,0.49,0.78,1.81,1.61,1.12,90,90,90,12.86,12.86,12.86,2125.54,230,12.34,3.35,0.31,0.14,0.42,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.24,0.86,1.24,1.19,1.07,0.8203
11.37,22.75,2.57,3.18,1.9,21.71,0.89,20.71,5.71,1.48,1.15,1.08,2.78,11,0.83,0.61,0.77,1.67,1.37,1.05,90,90,90,13.13,13.13,12.67,2183.83,142,12.51,3.08,0.3,0.15,0,0.03,2,2.67,3,-1,2,3.44,1.14,3.44,2.25,1.26,0.92,1.26,1.22,1.09,0.9473
27.35,54.7,4.26,4.26,3.01,6,0,6,0,1.68,0,1.68,2.66,12,0.37,0.2,0.74,2.66,1,1,90,90,90,6.03,6.03,6.03,218.79,225,3.69,2.45,1.16,1.16,0,0.02,1,1,1,-1,1,2.66,0.98,2.66,1.82,2.06,0.9,2.06,2.06,1.48,0.9668
