Ni,Re,Co,Al,Ti,W,Mo,Cr,Ta,C,B
59.885,0,10,5,2,12,0,9,0,0.1,0.015
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004
62.5,0,5,5,1.5,4,0,10,12,0,0
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004
62.5,0,5,5,1.5,4,0,10,12,0,0
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004
59.885,0,10,5,2,12,0,9,0,0.1,0.015
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004
