Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,creep_life
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,30
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,30
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,30.2
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,31.6
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,33
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,35.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,35.4
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,39.2
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,40
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,42.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,42.8
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,43.1
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,43.5
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,43.8
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,44.1
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,44.5
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,45.5
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,46
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,46.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,47.1
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,47.6
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,48.7
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,49.1
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,50
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,51.4
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,51.6
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,52
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,52.2
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,52.4
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,53.5
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,53.5
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,53.8
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,54.1
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,54.2
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,55.2
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,55.3
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,55.5
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,55.5
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,55.6
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,56.3
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,56.3
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,57.4
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,57.9
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,58.5
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,59.8
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,60.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,62.2
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,63.1
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,63.7
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,64.2
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,64.7
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,64.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,65.4
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,65.6
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,66.4
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,66.7
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,67.1
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,68
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,68.5
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,68.9
62.447,0,7.5,4.2,3.5,6.1,1.5,9.7,4.8,0.05,0.003,0,0,0.2,69.2
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,69.6
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,70.1
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,70.3
60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,72.7
59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,72.7
61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,74
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,74.3
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,75.7
60.581,3,10,6.2,0,5,1.5,7,6.5,0.05,0.004,0.015,0,0.15,76.2
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,76.5
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,76.8
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,80.4
62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,80.7
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,81.5
63.546,4.5,7.5,5.75,1.5,4,0,8,5,0.05,0.004,0,0,0.15,82.9
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,83.6
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,84.3
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,85.6
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,85.6
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,86.4
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,86.8
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,87
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,89.2
63.131,3,7.5,5.75,1.5,5.9,0,8,5,0.05,0.004,0.015,0,0.15,90
60.981,1,10,5.8,1.5,7,1.5,7,5,0.05,0.004,0.015,0,0.15,90.1
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,90.4
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,90.8
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,91
61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,91.9
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,92.4
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,92.5
60.981,2,10,5.8,1.5,6,1.5,7,5,0.05,0.004,0.015,0,0.15,92.7
63.496,3,7.5,5.8,1.5,4,1.5,8,5,0.05,0.004,0,0,0.15,94.5
61.281,3,10,6.5,0,5.5,1.5,5,7,0.05,0.004,0.015,0,0.15,94.7
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,96.5
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,96.9
61.281,2,10,6.5,0,6.5,1.5,5,7,0.05,0.004,0.015,0,0.15,97.1
62.9524,0,7.4,4.2,3.4,6,1.5,9.6,4.7,0.05,0.0076,0,0,0.19,98.1
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,98.4
63.796,3,7.5,6,1,3,1.5,8,6,0.05,0.004,0,0,0.15,100.3
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,100.6
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,101.9
64.046,6,7.5,5.75,1.5,2,0,8,5,0.05,0.004,0,0,0.15,103
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,103.9
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,105
66.8,0,5,5.4,0,6.9,2,7.9,5.9,0,0,0,0,0.1,107.5
59.546,2,10,6.2,0,7,1.5,7,6.5,0.05,0.004,0.05,0,0.15,110
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,113.1
65.281,3.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,113.3
63.081,3,7.5,6.2,0,5,1.5,7,6.5,0.004,0.05,0.015,0,0.15,114.3
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,114.5
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,115.5
60.081,2.5,10,6.2,0,6,1.5,7,6.5,0.05,0.004,0.015,0,0.15,119.1
62.781,3,10,7,0,5.5,1.5,6,4,0.05,0.004,0.015,0,0.15,119.2
61.781,4,10,6.5,0,4,1.5,5,7,0.05,0.004,0.015,0,0.15,119.8
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,121.4
60.981,3,10,5.8,1.5,5,1.5,7,5,0.05,0.004,0.015,0,0.15,126.5
67.2,2.5,5,5.5,1.5,5,2,5,6.3,0,0,0,0,0,132.3
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,133.8
65.281,3,7.5,6.5,0.5,3,1.5,5,7.5,0.004,0.05,0.015,0,0.15,143.2
64.281,4.5,7.5,6.5,0.5,3,1.5,5,7,0.004,0.05,0.015,0,0.15,147.4
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,153.7
63.781,5.5,7.5,6.5,0,3,1.5,5,7,0.004,0.05,0.015,0,0.15,158.7
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,161.8
63.2,2.9,10,5.5,0,4.9,2,7.5,3.9,0,0,0,0,0.1,164.7
60.2,0,5,5.6,1,8,0.6,8,6,0,0,0,0,5.6,166
