lattice_a,lattice_b,lattice_c,alpha,beta,gamma,Volume,Space,Occupacy,1-AAV,2-SDLC,3-SDLI,4-LBI,5-LNC,6-LLB,7-SBI,8-SNC,9-AFC,10-AASD,11-VPA,12-LASD,13-LLSD,14-ENS,15-PF,16-SPF,17-SLPW,18-SLPE,19-RBI,20-RNC,¦Ò
6.0257,6.0257,6.0257,90,90,90,218.7875058,7,0,27.34843822,0,1.12E-15,1.68,6,0,1.68,6,12,4.260813331,54.69687645,3.01285,4.260813331,2.66,0.358333333,0.211666667,0.740406666,2.66,1,1,1.00E-06
8.719,8.719,12.639,90,90,90,960.8289261,4,0.2124,19.19508003,0.627357017,0.685531212,1.027731959,24.93019545,11.16872756,1.0389,17.46666667,10.75,3.418369158,40.03453859,2.47977386,2.127134016,2.26,0.436,0.125333333,1.816371403,2.58,0.989250129,1.427301266,1.40E-02
6.2859,10.7716,5.1059,90,90,90,345.7164065,3,0.425,13.61088215,1.135923668,1.075373285,0.863370787,82.3880597,58.50746269,1.784946237,35.33333333,3.375,2.585202428,43.21455082,1.997596536,1.060256834,2.64,0.659333333,0.027333333,2.194258376,3.44,0.483695682,2.331737539,6.00E-07
11.052,6.345,5.244,90,90,90,367.7351854,3,0.406363636,10.56710303,2.685920828,1.14919137,1.169718876,97.56756757,60.54054054,1.778742857,42.6,11.9375,2.80960988,22.98344908,1.882142434,1.164229896,2.603333333,0.72,0.048333333,1.577048286,3.44,0.657609879,2.290318488,4.00E-05
10.9326,6.3016,5.1593,90,90,90,355.4389953,3,0.3648,10.44917084,1.037111017,1.143940264,1.2132287,90.75342466,54.22374429,1.750421687,40.8,11.6875,2.831446675,22.21493721,1.979188332,1.063427141,2.36,0.681333333,0.054666667,1.442446786,3.44,0.693106529,2.224348644,7.00E-05
10.828,6.251,5.14,90,90,90,347.9051559,3,0.329,9.985796668,3.777854136,1.116358747,1.380087719,44.7761194,22.82704126,1.569469027,28.52824485,11.3125,2.835971217,21.74407224,2.003736264,2.244154917,2.366666667,0.623333333,0.06,0.684819509,3.44,0.879334154,1.569536424,1.00E-06
10.896,6.2516,5.1571,90,90,90,351.2884168,3,0.409545455,10.04829568,5.394350105,1.155313275,1.196303502,99.19786096,60.96256684,1.799285714,44.2,11.75,2.834339856,21.95552605,1.840540941,1.165428753,2.36,0.764333333,0.058666667,1.785651032,0.98,0.664876897,2.244295497,6.03E-06
3.5664,3.5664,5.954,90,90,120,65.58425118,5,0,13.11685024,0,1.035653462,1.090526316,11,3,1.177142857,13.33333333,6,3.556199812,32.79212559,2.2172696,2.478642216,2.02,0.669666667,0.051333333,0.521749917,3.04,0.926417987,0.825,6.40E-06
7.36,16.76,9.69,90,90,90,1195.296384,3,0,12.451004,2.138089935,0.710317566,1.834375,24,0,0.895661157,19.81818182,10.21666667,2.686382695,19.9216064,1.971900523,4.938085934,2.725,0.290666667,0.061666667,0.238311989,2.01,2.048068051,1.211009174,5.00E-06
5.0769,5.0769,5.0769,90,90,90,130.8566589,7,0.304333333,8.089556065,0,0.360741458,1.157024793,130,18,0.379621053,819.9608611,12,3.599173516,32.71416473,2.198362186,2.53845,2.62,0.604666667,0.05,0.479586758,3.04,3.047841487,0.150781903,2.54E-04
5.72,5.72,5.72,90,90,90,187.149248,7,0,15.59577067,0,0.7953533,0.914285714,10,6,1.6,8,12,4.044650788,46.787312,2.476832655,2.86,2.58,0.474,0.094666667,0.972325394,2.58,0.571428571,1.25,1.00E-13
8.571,12.017,8.616,90,90,90,887.3916957,1,0,11.0923962,1.775250729,0.781943218,1.926285714,24.66666667,2.666666667,1.045339367,22.11764706,8.229166667,2.460101842,18.48732699,1.892255407,3.074813965,2.486666667,0.340666667,0.070333333,0.080716949,3.44,1.842737178,1.115248227,1.00E-07
3.641,3.641,3.872,90,90,120,44.45364103,6,0,11.11341026,1.154700538,0.991979429,0.716521739,12.66666667,10,2.06,8,0,0,44.45364103,2.046614745,2.35383194,3.04,0.696333333,0.223333333,0.368214925,3.04,0.347826087,1.583333333,5.75E-04
4.2286,4.2286,7.5566,90,90,120,117.0173548,6,0,14.62716935,1.549193338,0.593602422,0.475357143,15,11.33333333,1.21,11,6,4.498300981,58.5086774,2.49581223,2.588507103,2.19,0.544666667,0.09,1.091589447,0.98,0.392857143,1.363636364,1.00E-03
8.8483,12.2737,8.7959,90,90,90,955.2468431,1,0,11.94058554,2.14617348,0.869181346,1.844090909,23.33333333,2.666666667,1.125287958,18.82352941,8.270833333,2.422129946,19.9009759,1.947383707,3.159155713,2.33,0.404333333,0.057333333,0.252467546,3.44,1.638772454,1.239583333,1.00E-10
6.3259,5.446,4.9469,90,90,90,170.4249168,3,0,10.6515573,0,1.0475503,1.683636364,26,8,1.48326087,26,11.5,2.782469855,21.3031146,1.954503613,3.049498421,2.535,0.523,0.053666667,0.030581752,3.44,1.135091202,1,4.40E-08
12.161,12.161,12.161,90,90,90,1798.489329,7,0.125833333,9.362060807,1.328031788,0.853312142,1.747608696,50.33640668,8.970844755,1.290497238,27.9,9.394230769,2.458700483,17.29316663,2.045673915,2.572217571,2.88,0.429,0.080333333,0.576643075,3.44,1.354213434,1.804172282,1.00E-07
