X1,X2,X3,X4,X5,X6,ln
0.917,-2.6,-2,2,4,0.943,-14
0.91,-2.6,-1.96,2,3.8,0.918,-8.04
0.907,-2.6,-1.94,2,3.7,0.905,-7.21
0.904,-2.6,-1.92,2,3.6,0.892,-7.14
0.9,-2.6,-1.9,2,3.5,0.88,-4.95
0.897,-2.6,-1.88,2,3.4,0.867,-5.64
0.894,-2.6,-1.86,2,3.3,0.855,-6.17
0.89,-2.6,-1.84,2,3.2,0.842,-6.31
0.887,-2.6,-1.82,2,3.1,0.83,-5.64
0.837,-2.3,-1.9,3,3,0.941,-12.37
0.835,-2.3,-1.92,3,2.95,0.948,-3.62
0.833,-2.3,-1.94,3,2.9,0.956,-2.99
0.83,-2.3,-1.96,3,2.85,0.963,-4.81
0.826,-2.3,-2,3,2.75,0.978,-3.27
0.831,-2.31,-1.96,2.93,2.85,0.963,-2.9
0.835,-2.31,-1.96,2.93,2.85,0.963,-2.67
0.874,-2.32,-2,2.9,3,1.034,-4.14
0.846,-2.5,-1.9,2,4,0.948,-8.52
0.844,-2.5,-1.92,2,3.9,0.955,-5.3
0.861,-2.5,-1.95,2,3.5,0.99,-5.81
0.849,-2.5,-1.91,2,3.9,0.956,-5.12
0.843,-2.5,-1.92,2,3.95,0.952,-4.14
0.841,-2.5,-1.93,2,3.9,0.956,-3.82
0.838,-2.5,-1.95,2,3.85,0.96,-4.07
0.832,-2.5,-1.98,2,3.75,0.968,-3.91
0.846,-2.5,-1.9,2,3.9,0.947,-5.6
0.845,-2.5,-1.9,2,3.85,0.947,-5.47
0.845,-2.5,-1.9,2,3.8,0.946,-5.95
0.845,-2.5,-1.9,2,3.75,0.946,-7.29
0.841,-2.5,-1.93,2,3.9,0.956,-3.77
0.865,-2.26,-2,2.8,3,1.034,-3.35
0.863,-2.23,-2,2.9,3,1.034,-5.07
0.864,-2.25,-2,2.85,3,1.034,-3.86
0.864,-2.25,-2,2.82,3,1.034,-3.47
0.865,-2.26,-2,2.8,3,1.034,-3.35
0.865,-2.27,-2,2.78,3,1.034,-3.77
0.878,-2.23,-2,2.9,3,1.034,-7.71
0.884,-2.24,-2,2.9,3,1.034,-9.42
0.871,-2.23,-2,2.9,3,1.034,-6.75
0.853,-2.23,-1.95,2.9,3,0.986,-4.93
0.868,-2.23,-1.99,2.9,3,1.024,-6.52
0.875,-2.23,-2,2.9,2.9,1.038,-7.44
0.863,-2.23,-2,2.9,3.1,1.024,-7.92
0.863,-2.23,-2.03,2.9,2.9,1.039,-8.11
0.878,-2.23,-1.96,2.9,3.1,1.02,-9.79
0.862,-2.23,-1.99,2.9,2.9,1.018,-8.57
0.841,-2.23,-1.9,2.9,3,0.941,-6.29
0.835,-2.23,-1.9,2.9,3,0.941,-5.48
0.847,-2.24,-1.9,2.9,3,0.941,-8.36
0.83,-2.52,-1.94,0.98,2.9,0.956,-3.49
0.831,-2.23,-1.94,2.9,2.9,0.956,-4.79
0.833,-2.23,-1.92,2.9,2.95,0.948,-3.85
0.91,-2.5,-1.9,2,4,0.948,-7.25
0.894,-2.5,-2.1,2,3,1.029,-10.87
0.89,-2.5,-2.12,2,2.95,1.032,-8.73
0.886,-2.5,-2.13,2,2.9,1.035,-7.94
0.882,-2.5,-2.15,2,2.85,1.037,-8.73
0.89,-2.5,-2.1,2,2.95,1.022,-8.84
0.885,-2.5,-2.09,2,2.9,1.014,-8.57
0.891,-2.5,-2.11,2,3,1.028,-10.11
0.888,-2.5,-2.11,2,3,1.027,-10.27
0.906,-2.52,-2.1,2,3,1.029,-8.98
0.883,-2.51,-2.15,2,2.9,1.034,-6.86
0.834,-2.32,-2,2.9,3,1.034,-10.82
0.844,-2.32,-2,2.9,3,1.034,-6.68
0.857,-2.23,-2,2.9,3,1.034,-5.99
0.894,-2.32,-2,2.9,3,1.034,-6.01
0.807,-2.32,-2.2,2.9,3,1.026,-4.37
0.786,-2.32,-1.8,2.9,3,0.818,-4.67
0.765,-2.32,-2.2,2.9,3,0.973,-5.89
0.849,-2.32,-1.89,2.9,3,0.927,-3.85
0.86,-2.32,-1.91,2.9,3,0.95,-4.44
0.85,-2.32,-1.9,2.9,3,0.941,-6.31
0.862,-2.33,-1.9,2.9,3,0.941,-5.89
0.888,-2.32,-2,2.9,3,1.034,-7.32
0.885,-2.36,-2,2.7,3,1.034,-7.58
0.9,-2.33,-2,2.9,3,1.034,-6.86
0.852,-2.32,-1.94,2.9,2.9,0.956,-2.36
0.855,-2.34,-1.96,2.8,2.85,0.963,-2.1
0.854,-2.32,-1.92,2.9,2.95,0.948,-2.42
0.85,-2.32,-1.96,2.9,2.85,0.963,-2.15
0.846,-2.32,-2,2.9,2.75,0.978,-2.07
0.857,-2.33,-1.92,2.85,2.95,0.948,-2.51
0.855,-2.33,-1.94,2.85,2.9,0.956,-2.11
0.853,-2.33,-1.96,2.85,2.85,0.963,-2.03
0.851,-2.33,-1.98,2.85,2.8,0.971,-2.09
0.86,-2.34,-1.92,2.8,2.95,0.948,-2.39
0.857,-2.34,-1.94,2.8,2.9,0.956,-2.06
0.853,-2.34,-1.98,2.8,2.8,0.971,-2.03
0.86,-2.35,-1.94,2.75,2.9,0.956,-3.11
0.858,-2.35,-1.96,2.75,2.85,0.963,-2.26
0.854,-2.34,-1.98,2.8,2.81,0.969,-1.93
0.856,-2.34,-1.95,2.8,2.87,0.957,-1.7
0.857,-2.34,-1.94,2.8,2.89,0.953,-1.45
0.856,-2.34,-1.96,2.8,2.85,0.961,-1.71
0.857,-2.34,-1.94,2.8,2.89,0.954,-1.57
0.86,-2.34,-1.91,2.8,2.95,0.941,-1.24
0.86,-2.36,-1.9,2.7,2.9,0.934,-1.24
0.856,-2.34,-1.95,2.8,2.85,0.959,-1.45
0.857,-2.34,-1.94,2.8,2.87,0.954,-1.43
0.858,-2.34,-1.92,2.8,2.9,0.947,-1.31
0.855,-2.34,-1.96,2.8,2.83,0.963,-1.52
0.863,-2.34,-1.86,2.8,3,0.923,0.04
0.789,-2.32,-1.85,2.9,2.9,0.844,-6.21
0.886,-2.32,-2.03,2.9,2.9,1.039,-4.96
0.808,-2.32,-2.21,2.9,2.9,1.032,-3.96
0.803,-2.3,-2.21,3,2.9,1.032,-3.91
0.808,-2.32,-2.21,2.9,2.9,1.032,-3.96
0.851,-2.33,-1.98,2.8,2.8,0.971,-2.56
0.851,-2.33,-1.98,2.8,2.8,0.971,-2.97
0.85,-2.34,-1.98,2.8,2.8,0.971,-3.13
0.849,-2.34,-1.98,2.8,2.8,0.971,-3.64
0.867,-2.4,-1.93,2.5,3.25,0.941,-4.93
0.864,-2.4,-1.93,2.5,3.3,0.941,-4.61
0.862,-2.4,-1.94,2.5,3.35,0.942,-4.93
0.86,-2.4,-1.94,2.5,3.4,0.942,-6.56
0.858,-2.4,-1.95,2.5,3.45,0.942,-8.54
0.914,-2.6,-1.98,2,3.9,0.93,-9.39
0.876,-2.6,-1.87,2,2.9,0.842,-5.34
0.913,-2.5,-1.91,2,3.9,0.956,-5.69
0.828,-2.3,-1.98,3,2.8,0.971,-3.45
0.835,-2.5,-1.96,2,3.8,0.964,-4.02
0.9,-2.51,-2.1,2,3,1.029,-9.88
0.869,-2.23,-1.97,2.9,3,1.015,-7.21
0.857,-2.32,-1.9,2.9,3,0.941,-4.14
0.848,-2.32,-1.98,2.9,2.8,0.971,-2.49
0.858,-2.34,-1.93,2.8,2.9,0.951,-1.5
0.852,-2.33,-1.98,2.8,2.8,0.971,-2.46
