Alloy,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,creep_life
1,66.162,1.44,1,4.96,0,7.21,0.83,7.54,8.77,0.066,0.032,0,1.71,0.28,4,4,20,1270,1080,871,1040,137.2,333.5
2,65.083,1.43,1.01,5.18,0,7,0.83,7.27,11.83,0.061,0.026,0,0,0.28,4,4,20,1280,1080,871,1040,137.2,328.3
3,65.607,1.44,1.01,5.07,0,7.11,0.83,7.4,10.31,0.067,0.026,0,0.85,0.28,4,4,20,1280,1080,871,1040,137.2,388.9
4,65.621,1.43,0.99,5.07,0,8.99,0.83,7.15,8.7,0.064,0.025,0,0.85,0.28,4,4,20,1280,1080,871,1040,137.2,665.1
5,66.565,1.45,1,5.14,0,6.57,2.51,6.74,8.79,0.069,0.026,0,0.86,0.28,4,4,20,1280,1080,871,1040,137.2,507.3
6,65.126,2.86,1.01,4.95,0,7.08,0.83,7.45,8.7,0.069,0.025,0,1.61,0.29,4,4,20,1270,1080,871,1040,137.2,244.8
7,66.202,1.44,0.97,4.96,0,7.21,0.83,7.54,8.77,0.066,0.022,0,1.71,0.28,4,4,20,1270,1080,871,1040,137.2,232.2
8,65.624,1.43,1.01,5.07,0,8.07,0.83,7.27,9.5,0.061,0.025,0,0.85,0.26,4,4,20,1280,1080,871,1040,137.2,509.9
9,65.605,1.43,1.02,5.07,0,8.53,0.83,7.21,9.1,0.061,0.024,0,0.85,0.27,4,4,20,1280,1080,871,1040,137.2,525.5
10,66.405,1.45,1.02,5.2,0,7.8,0.84,7.29,8.79,0.069,0.026,0,0.86,0.25,4,4,20,1280,1080,871,1040,137.2,430
11,66.06,2.89,1.01,5.28,0,6.56,0.84,7.36,8.78,0.071,0.029,0,0.86,0.26,4,4,20,1280,1080,871,1040,137.2,436.5
12,65.312,2.87,1.01,5.15,0,6.79,0.83,7.35,9.5,0.061,0.027,0,0.85,0.25,4,4,20,1280,1080,871,1040,137.2,433.4
13,66.078,2.89,1.01,5.27,0,5.61,0.84,7.5,9.59,0.066,0.026,0,0.86,0.26,4,4,20,1280,1080,871,1040,137.2,415.4
14,65.73,1.42,1,5.08,0,8.8,0.83,7.1,8.9,0.07,0.02,0,0.8,0.25,4,4,20,1280,1080,871,1040,137.2,555.5
15,65.639,1.43,1,5.07,0,8.76,0.83,7.18,8.9,0.07,0.021,0,0.85,0.25,4,4,20,1280,1080,871,1040,137.2,611.1
16,67.237,1.44,0,4.96,0,7.21,0.83,7.54,8.77,0.07,0.023,0,1.71,0.21,4,4,20,1270,1080,871,1040,137.2,323.3
17,65.605,1.41,2.31,4.85,0,7.05,0.82,7.36,8.57,0.06,0.025,0,1.68,0.26,4,4,20,1270,1080,871,1040,137.2,298.7
18,64.123,1.38,4.51,4.74,0,6.89,0.8,7.2,8.38,0.061,0.026,0,1.64,0.25,4,4,20,1270,1080,871,1040,137.2,275.3
19,61.366,1.32,8.63,4.53,0,6.59,0.76,6.89,8.02,0.06,0.024,0,1.57,0.24,4,4,20,1270,1080,871,1040,137.2,240.4
20,58.832,1.26,12.4,4.35,0,6.32,0.73,6.6,7.68,0.062,0.026,0,1.5,0.24,4,4,20,1270,1080,871,1040,137.2,211.1
21,65.964,2.83,0.89,5.1,0,8.89,0.82,5.75,8.61,0.061,0.025,0,0.84,0.22,4,4,20,1280,1080,871,1040,137.2,508.9
22,66.103,4.27,0.99,5.12,0,8.8,0.81,4.23,8.52,0.061,0.026,0,0.83,0.24,4,4,20,1280,1080,871,1040,137.2,460.6
23,65.89,5.61,0.99,5.2,0,7.56,0.81,4.27,8.52,0.07,0.03,0,0.83,0.22,4,4,20,1280,1080,871,1040,137.2,454.3
24,65.788,1.44,1.01,5.12,0,9,0.41,7.33,8.72,0.06,0.022,0,0.85,0.25,4,4,20,1280,1080,871,1040,137.2,588.8
25,66.61,1.45,1.05,4.85,0,7.32,0.84,7.67,7.22,0.088,0.032,0,2.59,0.28,4,4,20,1250,1080,871,1040,137.2,220.3
26,67.499,1.44,1.2,5.03,0.38,6.93,0.83,7.22,8.72,0.078,0.033,0,0.43,0.21,4,4,20,1280,1080,871,1040,137.2,610.1
27,65.394,1.57,0.98,4.75,0,9.35,0.88,7.79,8.18,0.062,0.024,0,0.81,0.21,4,4,20,1280,1080,871,1040,137.2,580.9
28,66.023,1.29,0.98,5.4,0,8.62,0.77,6.5,9.23,0.065,0.022,0,0.89,0.21,4,4,20,1280,1080,871,1040,137.2,550.3
29,64.956,1.46,1.01,5.17,0,6.63,0.84,9.79,8.88,0.075,0.029,0,0.87,0.29,4,4,20,1280,1080,871,1040,137.2,220.3
30,65.449,1.49,0.99,5.2,0,5.59,0,11.73,7.42,0.08,0.031,0,1.77,0.25,4,4,20,1250,1080,871,1040,137.2,205.5
31,66.959,1.45,0.55,4.78,1.17,9.01,0.84,7.58,6.43,0.088,0.033,0,0.86,0.25,4,4,20,1250,1080,871,1040,137.2,220.5
32,67.275,1.46,1.01,5.34,0,8.41,0.84,7.19,7.25,0.07,0.025,0,0.87,0.26,4,4,20,1280,1080,871,1040,137.2,351.2
33,68.901,1.48,1.02,5.62,0,7.9,0.86,7.23,5.74,0.081,0.028,0,0.88,0.26,4,4,20,1280,1080,871,1040,137.2,311.1
34,67.453,1.46,1,5.21,0,6.09,4.21,6.15,7.25,0.061,0.036,0,0.87,0.21,4,4,20,1280,1080,871,1040,137.2,477.5
35,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,5,4,32,2350,1975,1600,1400,655.5,1200
36,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,5,4,32,2350,1975,1600,1400,759,475
37,72,0,0,5,2,12,0,9,0,0,0,0,0,0,4,4,32,2350,1975,1600,1700,345,82.6
38,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,2350,1975,1600,1700,345,165.6
39,55.575,0,10,5,2,12,0,9,4.3,0.11,0.015,0,0,2,2,4,32,2200,1972,1600,1700,345,76
40,72,0,0,5,2,12,0,9,0,0,0,0,0,0,4,4,32,2350,1975,1600,1800,200.1,310
41,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,5,4,32,2350,1975,1600,1800,200.1,350
42,55.575,0,10,5,2,12,0,9,4.3,0.11,0.015,0,0,2,2,4,32,2200,1972,1600,1800,200.1,160
43,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,5,4,32,2350,1975,1600,1800,207,240
44,60.1,0,7.5,5.2,0,16.6,0,5.5,5.1,0,0,0,0,0,4,5,20,1348,982,870,1040,137.31,1751
45,59.9,0,7.3,5.3,0,18.6,0,5.5,3.4,0,0,0,0,0,4,5,20,1348,982,870,1040,137.31,1707
46,66.4,0,0,5.3,0,8.7,0,9.2,10.4,0,0,0,0,0,4,5,20,1324,982,870,1040,137.31,1827
47,67.7,0,0,5.2,0,12.8,0,6.6,7.7,0,0,0,0,0,4,5,20,1348,982,870,1040,137.31,1920
