"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb+Ta","Ni","Pt","Re","Si","Ta","Ti","W","Y","Zr","低温施加载荷/工作能力（应力乘以变形应变）","低温施加载荷/温度","力学性能/应变","加压/压强","加热/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应变测试/冲击速率","应变测试/应变位置","应变测试/径向位置","应变测试/时间","应变测试/长轴位置","持续时间/持续时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","样品中位置/样品中位置","样品尺寸/d1","样品尺寸/d4","样品尺寸/d5","样品尺寸/样品d0","样品尺寸/模锻前RCS齿轮直径","样品尺寸/模锻后RCS齿轮直径","模锻/模锻","热加工/应变速率","热加工/时间","热加工/温度","热加工前处理/时间","热加工前处理/温度","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","第一次轧制/温度","第二次轧制/温度","等温蠕变实验/压力","等温蠕变实验/温度","等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/1min）","蠕变测试/初始压力","蠕变测试/初始温度","蠕变测试/时间","蠕变测试/测试温度","非等温蠕变实验/第一段时间","非等温蠕变实验/第一段温度","非等温蠕变实验/第三段时间","非等温蠕变实验/第三段温度","非等温蠕变实验/第二段时间","非等温蠕变实验/第二段温度","非等温蠕变实验/第四段时间","非等温蠕变实验/第四段温度","非等温蠕变实验/蠕变寿命","非等温蠕变实验/蠕变寿命/参考寿命","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/10min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/11min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/12min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/13min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/14min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/15min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/16min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/17min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/18min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/19min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/1min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/20min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/21min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/22min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/23min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/24min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/25min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/26min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/27min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/28min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/29min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/2min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/30min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/31min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/32min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/33min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/34min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/35min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/3min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/4min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/5min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/6min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/7min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/8min）","非等温蠕变实验/蠕变寿命/相对工艺寿命（工艺1050℃/15min+1100℃/1min+1050℃/15min+1150℃/9min）"
"ObjectId(""5b4c8e9fe6b1a81674aab335"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.778545",,,,,,,"",,"径向 ","6.05884inch",,,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8eb3e6b1a81674aab33d"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.746724",,,,,,,"",,"径向 ","4.00574inch",,,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ebce6b1a81674aab341"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.768739",,,,,,,"",,"径向 ","8.02484inch",,,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ec7e6b1a81674aab345"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.79001",,,,,,,"",,"径向 ","7.04385inch",,,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ed6e6b1a81674aab34b"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.77306",,,,,,,"",,"径向 ","5.01308inch",,,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ee9e6b1a81674aab351"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.69707",,,,,,,"",,"中线 ",,,"-14.0392inch",,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8eeee6b1a81674aab353"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.671843",,,,,,,"",,"中线 ",,,"-21.9377inch",,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ef3e6b1a81674aab355"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.66745",,,,,,,"",,"中线 ",,,"-28.0152inch",,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8ef8e6b1a81674aab357"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.839619",,,,,,,"",,"表面下25mm",,,"-12.0473inch",,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c8efde6b1a81674aab359"")","0.4","0.002","0.02wt.%",,"17.35","17",,"2.8","5.3","Bal",,,,,"0.85",,,,,,"0.659238",,,,,,,"",,"中线 ",,,"-26.0095inch",,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,,"UDIMET alloy 718",,,,,,"460mm","406mm","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
