"/温度","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","Nb","Ni","Re","Si","Ta","Ti","W","Zr","保温/保温时间","保温/拉伸温度","保温/第二次时效温度","冷却/油冷","冷却/空冷","力学性能/抗拉强度","固溶/固溶温度","固溶处理/时间","固溶处理/温度","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","拉伸实验/测试温度","拉伸测试/变形量","拉伸测试/应变速率","拉伸测试/测试温度","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/拉伸塑形应变","时效/第一次时效时间","时效/高温时效温度","时效1/时效时间","时效1/时效温度","时效处理/时间","时效处理/温度","材料牌号","棒料拉伸测试/温度","油淬/第一次时效温度","油淬/第二次时效时间","测试温度/温度","炉冷/温度","热处理工艺/一次空冷温度","热处理工艺/二次空冷温度","热处理工艺/冷却时间","热处理工艺/冷去时间","热处理工艺/加热时间","热处理工艺/加热温度","热处理工艺/炉冷温度","热处理工艺/空冷温度","热挤压/热挤压温度","热等静压/压力","热等静压/时间","热等静压/温度","热轧/热轧时间","热轧/热轧温度","片料拉伸测试/温度","直径/坯料直径","空冷热处理1/时间","空冷热处理1/温度","空冷热处理2/时间","空冷热处理2/温度","空冷热处理3/时间","空冷热处理3/温度","试样放置于高温/时间","试样放置于高温/温度","试样置于高温/放置温度","退火/退火时间","退火/退火温度","重量/铸锭重量"
,"ObjectId(""5b4c9532e6b1a81674aab5b5"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,"61wt.%",,,,"2.5","3.5","0.05",,,,,,"176.3ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"AF5 95",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c9555e6b1a81674aab5c3"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,"61wt.%",,,,"2.5","3.5","0.05",,,,,,"167.2ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"AF5 95",,,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c9564e6b1a81674aab5c7"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,"61wt.%",,,"3.9","4.5","3.8","0.10",,,,,,"179ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"IN-792",,,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c9577e6b1a81674aab5cf"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,"52.5wt.%",,"0.04",,"0.9",,,,,,,,"126ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"Inconel 718",,,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c957ce6b1a81674aab5d1"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,"52.5wt.%",,"0.04",,"0.9",,,,,,,,"161ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"Inconel 718",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c95b2e6b1a81674aab5e5"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,"61wt.%",,,"3.9","4.5","3.8","0.10",,,,,,"168ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"IN-792",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c95c1e6b1a81674aab5eb"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,"61wt.%",,,"3.9","4.5","3.8","0.10",,,,,,"192.4ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"IN-792",,,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c95dde6b1a81674aab5f5"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,"61wt.%",,,"3.9","4.5","3.8","0.10",,,,,,"179.8ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"IN-792",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c961ce6b1a81674aab60d"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11",,,,,,"158.4ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ObjectId(""5b4c9643e6b1a81674aab61d"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11",,,,,,"139.3ksi",,,,,,,,,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
