"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/温度","/状态","/空冷)，试样盘尺寸","/组成","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Ni","Re","Si","Ta","Ti","W","Y","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","力学性能/总延伸率A","固溶/时间","固溶/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/力","应力破裂测试/温度","拉伸实验/测试温度","拉伸测试/ 温度","拉伸测试/测试温度","拉伸测试/温度","持久性极限试验/应力","持久性极限试验/时间","持久极限试验/温度","持久测试/应力","持久测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","材料牌号","标准热处理后油淬/时间","棒料拉伸测试/温度","测试温度/温度","测量温度/温度","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理工艺/一次空冷温度","热处理工艺/二次空冷温度","热处理工艺/冷却时间","热处理工艺/冷去时间","热处理工艺/炉冷温度","热处理工艺/空冷温度","热挤压/热挤压温度","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","热轧/厚度","热轧/温度","热轧/热轧时间","热轧/热轧温度","焊前热处理/时间","焊前热处理/温度","片料拉伸测试/温度","直径/坯料直径","真空热挤/挤压率","真空热挤/温度","硼含量/体积比浓度","空冷热处理1/时间","空冷热处理1/温度","空冷热处理2/时间","空冷热处理2/温度","空冷热处理3/时间","空冷热处理3/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第3步热处理/空冷","第4步热处理/时间","第4步热处理/温度","第一次轧制/温度","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","蠕变断裂测试/拉力","蠕变断裂测试/温度","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变试验/应力","蠕变试验/时间","蠕变试验/温度","试样置于高温/放置温度","退火/退火时间","退火/退火温度","重量/铸锭重量","锻造和锻轧的/试验温度"
,,,,,,,,"ObjectId(""5b4c9523e6b1a81674aab5af"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,"2.5","3.5",,"0.05",,,,,"9.6%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"AF5 95",,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c9537e6b1a81674aab5b7"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,"2.5","3.5",,"0.05",,,,,"17.1%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"AF5 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90ksi","1200 ℉",,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c954fe6b1a81674aab5c1"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,,"52.5wt.%",,"0.04",,"0.9",,,,,,,,"8%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"Inconel 718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90ksi","1200 ℉",,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c955ae6b1a81674aab5c5"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,"2.5","3.5",,"0.05",,,,,"13%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"AF5 95",,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c956de6b1a81674aab5cb"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,,"52.5wt.%",,"0.04",,"0.9",,,,,,,,"22%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"Inconel 718",,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c9572e6b1a81674aab5cd"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,,"61wt.%",,,"3.9","4.5","3.8",,"0.10",,,,,"7.6%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"IN-792",,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c9581e6b1a81674aab5d3"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,,"52.5wt.%",,"0.04",,"0.9",,,,,,,,"26.6%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"Inconel 718",,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c9599e6b1a81674aab5dd"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,,"61wt.%",,,"3.9","4.5","3.8",,"0.10",,,,,"4.3%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"IN-792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75ksi","1400 ℉",,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c95a4e6b1a81674aab5e1"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,,"61wt.%",,,"3.9","4.5","3.8",,"0.10",,,,,"5%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"IN-792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75ksi","1400 ℉",,,,,,,,,,,,,
,,,,,,,,"ObjectId(""5b4c95c6e6b1a81674aab5ed"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,"4.0","4.1","4.0",,"0.11",,,,,"3.8%",,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,"MOD 5A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95ksi","1400 ℉",,,,,,,,,,,,,
