"1%蠕变应变的时间/时间","_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Zr","力学性能/蠕变极限","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/高温时效温度","材料牌号","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","蠕变测试/Larson-Miller参数","蠕变测试/变形量","蠕变测试/时间","蠕变测试/测试温度","蠕变测试/温度","高温低应力蠕变极限测试/Larson-Miller参数"
"28.61h","ObjectId(""5b4ccb9fe6b1a819a85d6a21"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"376.92MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"29.63h","ObjectId(""5b4ccba4e6b1a819a85d6a23"")","6.0",,,"8.0","3.0","0.1",,,"5.0",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"250.680MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-8",,,,,,,,,,,
"21.94h","ObjectId(""5b4ccba8e6b1a819a85d6a25"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"865.61MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"20.80h","ObjectId(""5b4ccbade6b1a819a85d6a27"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"898.19MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
"30.01h","ObjectId(""5b4ccbb2e6b1a819a85d6a29"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"250.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"29.26h","ObjectId(""5b4ccbb7e6b1a819a85d6a2b"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"376.920MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-6",,,,,,,,,,,
"31.41h","ObjectId(""5b4ccbbce6b1a819a85d6a2d"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","4.8",,"238.460MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-6",,,,,,,,,,,
"28.99h","ObjectId(""5b4ccbc1e6b1a819a85d6a2f"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"389.14MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"23.56h","ObjectId(""5b4ccbc5e6b1a819a85d6a31"")","6.0",,,"3.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"902.26MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-7",,,,,,,,,,,
"30.33h","ObjectId(""5b4ccbdee6b1a819a85d6a3b"")","6.0",,,"8.0","3.0","0.1",,,"2.5",,"balance","6.2","5.0",,"6.5","0.25","2.9",,"250.68MPa",,,,,,,,,,,,,,"","Hobbs R A, Brewster G J, Rae C M F, et al. Evaluation of Ruthenium-Bearing Single Crystal Superalloys: A Design of Experiments[C]// Superalloys. 2008:171-180.","10.11961/mater0203.MGI.20171221.ds.0068","尹海清","摘录","徐斌","2018-01-09",,,"LDSX-5",,,,,,,,,,,
