"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4c95ebe6b1a81674aab5fb"")","3.4",,,,,,,,,"0.015","0.09","9.0","12.6",,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11","0.65%",,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,,,,,,,,,,,,,,,,"900℉",,,,,,,,,,,,,
,,,,"ObjectId(""5b4c9612e6b1a81674aab609"")","3.4",,,,,,,,,"0.015","0.09","9.0","12.6",,,"2.0",,"61wt.%",,,"4.0","4.1","4.0","0.11","0.65%",,,,,,,,,,"",,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,"MOD 5A",,,,,,,,,,,,,,,,,,,"900℉",,,,,,,,,,,,,
,,,"700.00℃","ObjectId(""5b4cc17ee6b1a819a85d6645"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.33%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"800.00℃","ObjectId(""5b4cc182e6b1a819a85d6647"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.20%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"800.00℃",,"ObjectId(""5b4cc18de6b1a819a85d664b"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.50%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"750℃","ObjectId(""5b4cc19be6b1a819a85d6651"")","3.1",,,,,,,,,"0.012","0.023","14.8wt.%","14.0","0.33",,"2.0",,"balance",,,,"4.5","4.1","0.053","0.21%",,,,,,,,,,"",,,,,,"Soula A, Renollet Y, Boivin D, et al. Grain Boundary and Intragranular Deformations during High Temperature Creep of a PM Nickel-Based Superalloy[C]// Superalloys. 2008:387-394.","10.11961/mater0203.MGI.20171221.ds.0071","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"NR6 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1c7e6b1a819a85d6661"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.841%",,,,,,,"2476.74hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1cce6b1a819a85d6663"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.898%",,,,,,,"2581.40hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1d1e6b1a819a85d6665"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.964%",,,,,,,"2697.67hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc1d6e6b1a819a85d6667"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.850%",,,,,,,"2488.37hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
