"_id","Al","B","C","Co","Cr","Fe","Hf","Mo","Nb","Ni","Ta","Ti","W","Zr","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","第一次轧制/温度","第二次轧制/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4d1ef6e6b1a819a85d89db"")","5.5","0.013","0.15wt.%","10.3","8.4","0.05","1.5","0.75",,"balance.","3.1","1.0","9.9","0.07",,,"7.00%",,,,,,,,,"单晶长度3.5cm,直径0.64cm",,,,"136Mpa","10度","35度","23℃","ANISOTROPY OF NICKEL-BASE SUPERALLOY SINGLE CRYSTALS","10.11961/mater0203.MGI.20171221.ds.0037","尹海清","摘录","张凯琦","2018-01-08",,,"24h","816℃",,,,,"Mar-M247","2h","1232℃",,,,,,,,,
"ObjectId(""5b4d2098e6b1a819a85d8a79"")",,,,,,,,,,,,,,,,,"21.04%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","36%","2100℃"
"ObjectId(""5b4d209de6b1a819a85d8a7b"")",,,,,,,,,,,,,,,,,"20.41%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","29%","2100℃"
"ObjectId(""5b4d20a2e6b1a819a85d8a7d"")",,,,,,,,,,,,,,,,,"20.15%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","27%","2100℃"
"ObjectId(""5b4d20a7e6b1a819a85d8a7f"")",,,,,,,,,,,,,,,,,"21.47%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","37%","2100℃"
"ObjectId(""5b4d20ace6b1a819a85d8a81"")",,,,,,,,,,,,,,,,,"20.94%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","33%","2100℃"
"ObjectId(""5b4d20b1e6b1a819a85d8a83"")",,,,,,,,,,,,,,,,,"20.91%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","32%","2100℃"
"ObjectId(""5b4d20b6e6b1a819a85d8a85"")",,,,,,,,,,,,,,,,,"20.38%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","28%","2100℃"
"ObjectId(""5b4d20bae6b1a819a85d8a87"")",,,,,,,,,,,,,,,,,"21.00%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","35%","2100℃"
"ObjectId(""5b4d20bfe6b1a819a85d8a89"")",,,,,,,,,,,,,,,,,"21.16%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","40%","2100℃"
"ObjectId(""5b4d20c4e6b1a819a85d8a8b"")",,,,,,,,,,,,,,,,,"20.68%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","31%","2100℃"
"ObjectId(""5b4d20c9e6b1a819a85d8a8d"")",,,,,,,,,,,,,,,,,"20.97%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","34%","2100℃"
"ObjectId(""5b4d20cee6b1a819a85d8a8f"")",,,,,,,,,,,,,,,,,"21.54%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","39%","2100℃"
"ObjectId(""5b4d20d8e6b1a819a85d8a93"")",,,,,,,,,,,,,,,,,"21.50%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","38%","2100℃"
"ObjectId(""5b4d20dde6b1a819a85d8a95"")",,,,,,,,,,,,,,,,,"20.44%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","30%","2100℃"
"ObjectId(""5b4d20e6e6b1a819a85d8a97"")",,,,,,,,,,,,,,,,,"19.44%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","24%","2100℃"
"ObjectId(""5b4d20ebe6b1a819a85d8a99"")",,,,,,,,,,,,,,,,,"18.50%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","20%","2100℃"
"ObjectId(""5b4d20f0e6b1a819a85d8a9b"")",,,,,,,,,,,,,,,,,"18.97%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","22%","2100℃"
"ObjectId(""5b4d20f5e6b1a819a85d8a9d"")",,,,,,,,,,,,,,,,,"13.5%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","33%","2100℃"
"ObjectId(""5b4d20fae6b1a819a85d8a9f"")",,,,,,,,,,,,,,,,,"19.91%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","26%","2100℃"
"ObjectId(""5b4d20ffe6b1a819a85d8aa1"")",,,,,,,,,,,,,,,,,"13.8%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","37%","2100℃"
"ObjectId(""5b4d2107e6b1a819a85d8aa3"")",,,,,,,,,,,,,,,,,"13.7%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","40%","2100℃"
"ObjectId(""5b4d210be6b1a819a85d8aa5"")",,,,,,,,,,,,,,,,,"13.7%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"2英寸","35%","2100℃"
"ObjectId(""5b4d2110e6b1a819a85d8aa7"")",,,,,,,,,,,,,,,,,"19.88%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","25%","2100℃"
"ObjectId(""5b4d2115e6b1a819a85d8aa9"")",,,,,,,,,,,,,,,,,"19.21%",,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","1614h","760℃",,,,,,,"AF115",,,"100Mpa","4h","1190℃","150mm",,,"3英寸","23%","2100℃"
