_id,air处理/air,Al,B,C,Co,Cr,Fe,Mo,Nb+Ta,Ni,Si,Ta,Ti,W,Zr,一次时效/温度,一次时效及空冷/时间,二次时效/温度,二次时效及空冷/时间,保温/时间,力学性能/疲劳裂纹扩展速率,加热/温度,加载应力/应力比,加载应力/应力范围,备注,应力强度因子范围/应力强度因子范围,摘录出处,数据DOI,数据审核者,数据来源方式,数据生产者,数据采集时间,晶粒取向/晶粒取向,机械热处理/温度,材料牌号,标准热处理/温度,标准热处理后油淬/时间,热处理1/冷却速率,热处理1/时间,热处理1/温度,热处理2/冷却速率,热处理2/时间,热处理2/温度,热处理3/冷却速率,热处理3/时间,热处理3/温度,热处理4/冷却速率,热处理4/时间,热处理4/温度,热处理5/时间,热处理5/温度,热机械处理/温度,疲劳测试/初始温度,疲劳测试/应力强度,疲劳测试/应力强度因子,疲劳测试/测试温度,疲劳测试/温度,疲劳测试/频率,疲劳裂纹扩展/同等水平有效应力强度因子,疲劳裂纹扩展/应力强度因子,疲劳裂纹扩展/应力强度因子范围,疲劳裂纹扩展/有效应力强度因子范围,疲劳裂纹扩展/等效应力强度因子范围,疲劳裂纹扩展温度/疲劳裂纹扩展温度,疲劳裂纹扩展频率/疲劳裂纹扩展频率,真空处理/真空,第一次时效保温/第一次时效时间,第一次时效处理/第一次时效温度,第三次时效保温/第三次时效时间,第三次时效处理/第三次时效温度,第二次时效保温/第二次时效时间,第二次时效处理/第二次时效温度,等温锻造/变形量,等温锻造/温度,裂纹初始长度/裂纹初始长度,裂纹扩展方向/裂纹扩展方向,裂纹扩展频率/频率,裂纹面/裂纹面
"ObjectId(""5b4c9655e6b1a81674aab621"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00746195mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,70.0373Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c965ae6b1a81674aab623"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0159496mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,70.1187Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c965fe6b1a81674aab625"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0082052mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,72.0485Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9664e6b1a81674aab627"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0145048mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,76.2901Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9669e6b1a81674aab629"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00678602mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,69.0478Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c967de6b1a81674aab631"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0112602mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,74.6664Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9682e6b1a81674aab633"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0225919mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,79.0775Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9691e6b1a81674aab639"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0056123mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,68.5434Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9696e6b1a81674aab63b"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.0199053mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,73.1694Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c96a5e6b1a81674aab63f"")",,0.42,,0.03,,18.3,Balance,3,5.17,53.2wt.%,0.12,,1,,,,,,,,0.00902249mm/cycle,,,,,,"Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.",10.11961/mater0203.MGI.20171221.ds.0036,张瑞杰,摘录,黄淋,2018/1/9,,,718,,,3℃/min,1h,1032℃,,4h,843℃,3℃/min,1h,926℃,1.6℃/min,8h,718℃,8h,621℃,,,62.1538Mpa/m,,,525℃,,,,,,,,,,,,,,,,,,,,,
