"_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Zr","γ‘相晶格常数/晶格常数","力学性能/硬度","固溶热处理/固溶热处理时间","固溶热处理/固溶热处理温度","备注","拉伸测试/温度","拉紧态硬度测试/离晶界距离","摘录出处","放松态硬度测试/离晶界距离","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","测试温度/温度","热处理/热处理温度","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","硬度测试/测试压力","硬度测试/测试温度","空气中时效/时效时间","空气中时效/时效温度","第一次时效/第一次时效时间","第一次时效/第一次时效温度","第二次时效/第二次时效时间","第二次时效/第二次时效温度","缩进/缩进值","蠕变断裂测试/拉力","蠕变断裂测试/温度"
"ObjectId(""5b4c9519e6b1a81674aab5ab"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,,"2.5","3.5","0.05",,"12.6%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","AF5 95","120℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c951ee6b1a81674aab5ad"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,,"2.5","3.5","0.05",,"18.1%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","AF5 95","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c953ce6b1a81674aab5b9"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,"61wt.%",,,,,"2.5","3.5","0.05",,"36.1%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","AF5 95","120℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9568e6b1a81674aab5c9"")","0.5",,"","5.1",,"19.0","18.5",,"0.2","3.0",,,"52.5wt.%",,,"0.04",,"0.9",,,,"39.5%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","Inconel 718","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c959fe6b1a81674aab5df"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,,"61wt.%",,,,"3.9","4.5","3.8","0.10",,"6.7%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","IN-792","120℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c95cee6b1a81674aab5ef"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"6.7%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A",,,,,,,,,,,,,,,,,,,"95ksi","1400 ℉"
"ObjectId(""5b4c95e2e6b1a81674aab5f7"")","3.1","0.020","0.12",,"9.0","12.4",,,,"1.9",,,"61wt.%",,,,"3.9","4.5","3.8","0.10",,"5.9%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","IN-792","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9609e6b1a81674aab605"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"10%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9617e6b1a81674aab60b"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"7.9%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A","70℉",,,,,,,,,,,,,,,,,,,
"ObjectId(""5b4c9626e6b1a81674aab611"")","3.4","0.015","0.09",,"9.0","12.6",,,,"2.0",,,"61wt.%",,,,"4.0","4.1","4.0","0.11",,"18.3%",,,"",,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.",,"10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09","MOD 5A",,,,,,,,,,,,,,,,,,,"95ksi","1400 ℉"
