"/屈服强度","/时间","/温度","1050℃+150MPa蠕变条件/相对时间","1150℃+100MPa蠕变条件/相对时间","_id","Al","B","C","Co","Cr","Fe","Gr","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","冷挤压/冷挤压壁厚尺寸","力学性能/应变率","加压/压强","加热/温度","变形测试/屈服强度","变形测试/温度","变形测试/等效压力","变形测试/饱和压力","固溶处理/时间","固溶处理/温度","备注","应变/临界应变","应变/应变温度","应变测试/冲击速率","应变测试/时间","拉伸实验/温度","拉伸实验/载荷强度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效处理/时间","时效处理/温度","材料牌号","样品中位置/样品中位置","样品尺寸/d1","样品尺寸/d4","样品尺寸/d5","样品尺寸/样品d0","模锻/模锻","渗氮/合金中的含氮量","炉冷/温度","热处理/应变温度","热挤压/热挤压温度","真应变/真应变","退火/退火时间","退火/退火温度","锯齿/锯齿类型","锻造/锻造温度"
,,,,,"ObjectId(""5b4c8ec2e6b1a81674aab343"")","2.1",,"0.03","12","16",,,,,"4",,"0.7",,"bal",,,,,"3.7","4",,,,"0.00288-0.0128/sec",,,,,,,,,"",,,,,,,"Huron E, Srivatsa S, Raymond E. Control of grain size via forging strain rate limits for R’88DT[J]. Superalloys, 2000: 49-58.","10.11961/mater0203.MGI.20171221.ds.0081","尹海清","摘录","张桐","2018-01-09",,,,,"Rene’88DT",,,,,,,,,"982℃",,,,,,
,,,,,"ObjectId(""5b4c8ecce6b1a81674aab347"")","2.1",,"0.03","12","16",,,,,"4",,"0.7",,"bal",,,,,"3.7","4",,,,"0.01-0.05/sec",,,,,,,,,"",,,,,,,"Huron E, Srivatsa S, Raymond E. Control of grain size via forging strain rate limits for R’88DT[J]. Superalloys, 2000: 49-58.","10.11961/mater0203.MGI.20171221.ds.0081","尹海清","摘录","张桐","2018-01-09",,,,,"Rene’88DT",,,,,,,,,"1066℃",,,,,,
,,,,,"ObjectId(""5b4c8ed1e6b1a81674aab349"")","2.1",,"0.03","12","16",,,,,"4",,"0.7",,"bal",,,,,"3.7","4",,,,"0.008-0.04/sec",,,,,,,,,"",,,,,,,"Huron E, Srivatsa S, Raymond E. Control of grain size via forging strain rate limits for R’88DT[J]. Superalloys, 2000: 49-58.","10.11961/mater0203.MGI.20171221.ds.0081","尹海清","摘录","张桐","2018-01-09",,,,,"Rene’88DT",,,,,,,,,"10101038℃",,,,,,
,,,,,"ObjectId(""5b4c8edbe6b1a81674aab34d"")","2.1",,"0.03","12","16",,,,,"4",,"0.7",,"bal",,,,,"3.7","4",,,,"0.00244-0.01/sec",,,,,,,,,"",,,,,,,"Huron E, Srivatsa S, Raymond E. Control of grain size via forging strain rate limits for R’88DT[J]. Superalloys, 2000: 49-58.","10.11961/mater0203.MGI.20171221.ds.0081","尹海清","摘录","张桐","2018-01-09",,,,,"Rene’88DT",,,,,,,,,"954℃",,,,,,
,,,,,"ObjectId(""5b4c8fdfe6b1a81674aab3af"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"4.73487Hz",,,,,,,,,"",,,"5.30mm/sec","0.209703s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c8fe9e6b1a81674aab3b3"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"4.91191Hz",,,,,,,,,"",,,"5.31mm/sec","0.220396s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c8ff7e6b1a81674aab3b9"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"7.66455Hz",,,,,,,,,"",,,"5.34mm/sec","0.251287s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c8ffce6b1a81674aab3bb"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"9.3814Hz",,,,,,,,,"",,,"5.36mm/sec","0.264356s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9001e6b1a81674aab3bd"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"6.97537Hz",,,,,,,,,"",,,"5.33mm/sec","0.241782s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c900be6b1a81674aab3c1"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"9.03783Hz",,,,,,,,,"",,,"5.35mm/sec","0.261386s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c901ae6b1a81674aab3c7"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"5.60142Hz",,,,,,,,,"",,,"5.32mm/sec","0.230495s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9024e6b1a81674aab3c9"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"3.35043Hz",,,,,,,,,"",,,"5.27mm/sec","0.18s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
,,,,,"ObjectId(""5b4c9029e6b1a81674aab3cb"")","0.4","0.002","0.02wt.%",,"17.35","17",,,,"2.8",,,"5.3","Bal",,,,,"0.85",,,,,"0.888889Hz",,,,,,,,,"",,,"5.15mm/sec","0.06s",,,"Antolovich B, Evans M. Predicting grain size evolution of UDIMET alloy 718 during the"" cogging"" process through the use of numerical analysis[C]//Ninth International Symposium on Superalloys. 2000: 39-47.","10.11961/mater0203.MGI.20171221.ds.0080","尹海清","摘录","张桐","2018-01-09",,,,,"UDIMET alloy 718","边缘 ","3.18mm","15.88mm","6.35mm","9.53mm","",,,,,,,,,
