"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/空冷)，试样盘尺寸","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","保温/保温时间","保温/固溶时间","保温/拉伸温度","保温/第二次时效温度","冷却/油冷温度","冷却/盐浴温度","冷却/空冷","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶热处理/加热时间","固溶热处理/加热温度","固溶热处理/升温速度","固溶热处理/炉冷时间","固溶热处理/炉冷温度","固溶热处理/第一次保温时间","固溶热处理/第一次保温温度","固溶热处理/第三次保温时间","固溶热处理/第三次保温温度","固溶热处理/第二次保温时间","固溶热处理/第二次保温温度","固溶热处理/第四次保温时间","固溶热处理/第四次保温温度","均匀化处理/时间","均匀化处理/温度","均匀化退火/均匀化退火时间","均匀化退火/均匀化退火温度","备注","应力破裂测试/温度","拉伸/温度","拉伸实验/温度","拉伸测试/ 温度","拉伸测试/应变速率","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/测试温度","拉伸测试/温度","拉伸试验/弹性模量","拉伸试验/晶粒取向（距[001]面）","拉伸试验/晶粒取向（距[011]面）","拉伸试验/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/低温时效温度","时效/拉伸塑形应变","时效/时效时间","时效/时效温度","时效/第一次时效时间","时效/第二次时效温度","时效/高温时效温度","时效1/时效时间","时效1/时效温度","时效2/时效时间","时效2/时效温度","时效处理/时效时间","时效处理/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","最终退火/最终退火温度","材料牌号","标准热处理后油淬/时间","油淬/第一次时效温度","油淬/第二次时效时间","测试温度/温度","炉冷/温度","炉冷/第一次时效温度","炉冷/第二次时效时间","烧结/温度","热处理(氩气氛冷却)/烧结时间","热处理(氩气氛冷却)/烧结温度","热处理/固溶温度","热处理/温度","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理后空冷/时间","热处理工艺/一次空冷温度","热处理工艺/二次空冷温度","热处理工艺/冷却时间","热处理工艺/冷去时间","热处理工艺/加热时间","热处理工艺/加热温度","热处理工艺/测试温度","热处理工艺/炉冷温度","热处理工艺/空冷温度","热等静压/压力","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","焊前热处理/时间","焊前热处理/温度","空冷/老化时间","空气冷却/空冷","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次热处理/温度","第一次热处理后炉冷/时间","第一次轧制/温度","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","老化/老化温度","蠕变测试/测试温度","试样置于高温/放置温度","轧制/轧制厚度","轧制/轧制温度","铸锭/铸锭直径","铸锭/铸锭重量","锻造/试样厚度","锻造/锻造厚度减少量","锻造和锻轧的/试验温度","锻造（空冷）/锻造温度"
,,,,,"ObjectId(""5b4c8e5fe6b1a81674aab31d"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,,,,,"524.1Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"650℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8e69e6b1a81674aab321"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,,,,,"757.4Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"RT℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8e78e6b1a81674aab327"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,,,,,"491.2Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"538℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8e90e6b1a81674aab331"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,,,,,"287.2Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"760℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8ea4e6b1a81674aab337"")",,,"0.01",,"13",,"Bal.wt.%",,,,,"4.7",,"38",,,"0.4",,"1.5",,,,,,,,,,,,,,,"1053.2Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"RT℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"INCOLOY alloy 909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8ea8e6b1a81674aab339"")",,,"0.01",,"13",,"Bal.wt.%",,,,,"4.7",,"38",,,"0.4",,"1.5",,,,,,,,,,,,,,,"845.2Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"650℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"INCOLOY alloy 909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8eb8e6b1a81674aab33f"")",,,"0.01",,"13",,"Bal.wt.%",,,,,"4.7",,"38",,,"0.4",,"1.5",,,,,,,,,,,,,,,"516.5Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"760℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"INCOLOY alloy 909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8edfe6b1a81674aab34f"")",,,"0.01",,"13",,"Bal.wt.%",,,,,"4.7",,"38",,,"0.4",,"1.5",,,,,,,,,,,,,,,"894.2Mpa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,"538℃",,,,,,,,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,,,,,,,,,"INCOLOY alloy 909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c9528e6b1a81674aab5b1"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,,"61wt.%",,,,,"2.5","3.5",,"0.05",,,,,,,,,,,,"126.2ksi",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,,,,,,,,,,,,"AF5 95",,,,"120℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c9546e6b1a81674aab5bd"")","3.5","0.010","0.04","3.5","8.0","14.0",,,,"3.5",,,,"61wt.%",,,,,"2.5","3.5",,"0.05",,,,,,,,,,,,"146.8ksi",,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,"B.A. Ewing, Green K A. Polycrystalline Grain Controlled Castings for Rotating Compressor and Turbine Components[C]// Superalloys. 1984:33-42.","10.11961/mater0203.MGI.20171221.ds.0072","尹海清","摘录","张柳","2018-01-09",,,,,,,,,,,,,,,,,,,,"AF5 95",,,,"70℉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
