Al,Co,Cr,Hf,Mo,Ni,Re,Ru,Ta,Ti,W,力学性能/蠕变速率,材料牌号,热处理/升温速率,热处理/热处理温度,热处理/第一段时间,热处理/第一段温度,热处理/第三段时间,热处理/第三段温度,热处理/第二段时间,热处理/第二段温度,热处理/第四段时间,热处理/第四段温度,第一次时效/第一次时效时间,第一次时效/第一次时效温度,第二次时效/第二次时效时间,第二次时效/第二次时效温度,蠕变实验/压力,蠕变实验/应变,蠕变实验/晶向,蠕变实验/温度,蠕变实验/真空度,蠕变测试/γ相尺寸,蠕变测试/压力,蠕变测试/塑性蠕变应变,蠕变测试/时间,蠕变测试/晶格取向,蠕变测试/测试压力,蠕变测试/测试温度,蠕变测试/温度,蠕变测试/蠕变应力,蠕变测试/蠕变应变,蠕变测试/蠕变温度,蠕变测试/试样厚度
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.79E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.51E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.24E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.39E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.24E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.79E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,6.39E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.04%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,5.79E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.03%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.19E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,4.52E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.52E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.02%,980℃,0.2mm
6.2,8,7,0.2,2,61.6wt.%,3,,7,,5,3.52E-71/s,René N5,,,,,,,,,,,,,,,,,,,,,,,,16°[001],,,,230Mpa,0.02%,980℃,0.2mm
