,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,so_tt,X1satt,X2satt,so_ttemp,X1atc,X2atc,temperature,a_s,¦Ó,DL,G,L,Ni3Al_f,creep_life
Ni_wt,1,-0.035858278,-0.788154021,-0.121698022,-0.036002554,-0.096097348,-0.04023461,-0.123241771,0.04043062,-0.086109499,0.116549975,0.184672516,0.20464891,-0.205644393,0.149351533,-0.020545021,0.030997826,-0.003830936,-0.199919949,0.16015725,-0.12654069,-0.041449871,0.36704562,-0.103168658,-0.023412349,0.257923231,0.139796048,-0.131740133
Re_wt,-0.035858278,1,0.165543207,0.381716662,-0.442349501,-0.419437339,-0.19197224,-0.727048965,0.419141568,-0.222410512,-0.004307573,0.509038948,-0.030878594,-0.224639602,0.028017658,-0.179124945,-0.234292309,-0.371705751,0.492475036,0.021729119,0.207753538,-0.164246354,0.607817608,0.0840586,0.039610299,0.300781203,0.045397141,0.228615326
Co_wt,-0.788154021,0.165543207,1,0.365311253,0.095132169,-0.252886327,0.194696698,-0.0448253,-0.276297531,-0.088810834,-0.032229675,0.001095246,-0.520283135,-0.001586996,-0.481381112,-0.102110191,-0.231737911,0.149569325,0.167292438,-0.03563477,0.117603266,0.159507478,-0.264261224,0.04276525,0.157186701,0.034328921,-0.257933312,0.04128383
Al_wt,-0.121698022,0.381716662,0.365311253,1,-0.495980312,-0.477444901,0.283686939,-0.246372746,-0.010382134,-0.049638863,0.339573544,0.237726481,-0.318004232,-0.023074445,-0.48216228,-0.06098458,-0.464346275,0.292587906,-0.025945638,0.225879908,0.155550034,-0.027979152,0.032933807,0.032671751,-0.150050734,0.124651347,0.583249002,-0.117878961
Ti_wt,-0.036002554,-0.442349501,0.095132169,-0.495980312,1,-0.088122164,0.183295577,0.509618685,-0.567468925,0.05032023,-0.199167162,-0.274281973,-0.296648733,0.049475323,-0.277648941,-0.086081689,-0.003151338,0.129050217,-0.176410886,0.177397746,-0.382690578,0.355603897,-0.117608763,0.387145094,0.115445742,0.088684439,-0.253432955,-0.167082396
W_wt,-0.096097348,-0.419437339,-0.252886327,-0.477444901,-0.088122164,1,-0.480465608,0.052429779,-0.019736927,0.109814495,-0.235285387,-0.172978354,0.28259328,0.21807175,0.543767851,0.442073013,0.528667271,-0.223052484,-0.04058973,-0.243931916,-0.017127688,-0.133894225,-0.253891832,-0.244614311,0.067017978,-0.277589501,-0.149805345,0.237724529
Mo_wt,-0.04023461,-0.19197224,0.194696698,0.283686939,0.183295577,-0.480465608,1,0.198503133,-0.256005771,0.161428606,0.260800014,-0.11215302,-0.146102981,-0.085264537,-0.394639675,-0.145700953,-0.414535495,0.406790302,-0.302651815,0.050331178,0.070327662,0.163717894,-0.068264041,0.262692829,-0.105847154,-0.235646469,0.21350565,-0.334137343
Cr_wt,-0.123241771,-0.727048965,-0.0448253,-0.246372746,0.509618685,0.052429779,0.198503133,1,-0.523193519,0.342805889,-0.093469558,-0.611090644,-0.057814172,0.101835532,-0.221508355,0.001597579,0.040877727,0.429217369,-0.471494063,0.044286033,-0.211885443,0.231932715,-0.575852773,0.063155685,-0.126225364,-0.264521915,-0.060879406,-0.314191966
Ta_wt,0.04043062,0.419141568,-0.276297531,-0.010382134,-0.567468925,-0.019736927,-0.256005771,-0.523193519,1,-0.218049362,0.121505656,0.270422083,0.39117352,-0.159837493,0.413951434,-0.004069282,0.088776595,-0.28204979,0.340395772,-0.172155811,0.210639996,-0.32110697,0.305108427,-0.094435238,-0.086081972,0.012871626,0.147237174,0.288035968
C_wt,-0.086109499,-0.222410512,-0.088810834,-0.049638863,0.05032023,0.109814495,0.161428606,0.342805889,-0.218049362,1,-0.00206158,-0.3283005,0.427646738,0.042660271,-0.113230216,-0.116797402,-0.025691032,0.236648299,-0.294326899,0.237984611,-0.114000522,-0.02438378,-0.188769846,0.090178704,-0.249181658,-0.242232376,0.088779328,-0.195982884
