"_id","Al","Co","Cr","Fe","Mo","Nb+Ta","Ni","Ti","力学性能/疲劳强度折减系数","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","疲劳测试/应力比","疲劳测试/温度","疲劳测试/疲劳寿命","第一次热处理/温度","第一次热处理后炉冷/时间","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间"
"ObjectId(""5b4caee2e6b1a81674aabf67"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","201.474Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","91601.6次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caee7e6b1a81674aabf69"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","208.893Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","38524.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caeece6b1a81674aabf6b"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","206.391Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","46385.4次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caef1e6b1a81674aabf6d"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","202.699Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","76087.2次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf05e6b1a81674aabf75"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","211.395Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","31995.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf09e6b1a81674aabf77"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","203.907Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","59412.1次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf27e6b1a81674aabf81"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","239.102Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","8189.17次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf2ce6b1a81674aabf83"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","251.748Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","5305.84次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf31e6b1a81674aabf85"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","217.615Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","17773.4次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf36e6b1a81674aabf87"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","241.621Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","7234.95次","1325oF","8h","100oF","1150oF","8h"
"ObjectId(""5b4caf3be6b1a81674aabf89"")","0.45","0.29","17.98","Balance","2.91","5.30","52.70wt.%","0.98","218.84Ksi","","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09","IN718","0.05","800℃","14763.2次","1325oF","8h","100oF","1150oF","8h"
