"/状态","_id","Al","C","Co","Cr","Fe","Mo","Nb+Ta","Ni","Si","Ta","Ti","W","力学性能/弹性模量","备注","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/冷却速率","热处理1/时间","热处理1/温度","热处理2/冷却速率","热处理2/时间","热处理2/温度","热处理3/冷却速率","热处理3/时间","热处理3/温度","热处理4/冷却速率","热处理4/时间","热处理4/温度","热处理5/时间","热处理5/温度","缩进/缩进值"
,"ObjectId(""5b4c9e80e6b1a81674aab92d"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"172000Mpa","","525℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718","3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",
,"ObjectId(""5b4c9eb1e6b1a81674aab941"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"199000Mpa","","25℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718","3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",
,"ObjectId(""5b4c9ebae6b1a81674aab945"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"168000Mpa","","650℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718","3℃/min","1h","1032℃",,"4h","843℃","3℃/min","1h","926℃","1.6℃/min","8h","718℃","8h","621℃",
,"ObjectId(""5b4ca4bde6b1a81674aabb8b"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"168000.00Mpa","","650℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718",,"1h","955℃","1℃/min","8h","718℃",,"8h","621℃",,,,,,
,"ObjectId(""5b4ca4c2e6b1a81674aabb8d"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"173000.00Mpa","","525℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718",,"1h","955℃","1℃/min","8h","718℃",,"8h","621℃",,,,,,
,"ObjectId(""5b4ca4dae6b1a81674aabb97"")","0.42","0.03",,"18.3","Balance","3","5.17","53.2wt.%","0.12",,"1",,"198000.00Mpa","","25℃","Chang M, Au P, Terada T, et al. Damage Tolerance of Alloy 718 Turbine Disc Material[J]. Et Al, 1992.","10.11961/mater0203.MGI.20171221.ds.0036","张瑞杰","摘录","黄淋","2018-01-09","718",,"1h","955℃","1℃/min","8h","718℃",,"8h","621℃",,,,,,
,"ObjectId(""5b4cc4f9e6b1a819a85d679b"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","210.559GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"20.00"
,"ObjectId(""5b4cc524e6b1a819a85d67ab"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","219.876GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"18.06"
,"ObjectId(""5b4cc529e6b1a819a85d67ad"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","204.969GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"19.03"
,"ObjectId(""5b4cc52ee6b1a819a85d67af"")","3.6","0.07","9","12.2",,"1.9",,"balance",,"5","4.1","3.8","208.696GPa","",,"Dinkel M K, Heinz P, Pyczak F, et al. New Boron and Silicon Free Single Crystal-Diffusion Brazing Alloys[J]. R.c.reed K.a.green P.caron T.p.gabb M.g.fahrmann E.s.huron S.r.woodward, 2008:211-220.","10.11961/mater0203.MGI.20171221.ds.0069","尹海清","摘录","徐斌","2018-01-09","PWA1483",,,,,,,,,,,,,,,"13.11"
