"_id","Al","B","C","Co","Cr","Mn","Mo","Nb","Ni","Re","Ru","Si","Ta","Ti","W","Y","Zr","力学性能/持久寿命","固溶/时间","固溶/温度","固溶处理油淬/时间","固溶处理油淬/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/力","应力破裂测试/温度","持久测试/应力","持久测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","材料牌号","热轧/厚度","热轧/温度","真空热挤/挤压率","真空热挤/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/时间","第2步热处理/温度","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次轧制/温度","第二次轧制/温度","蠕变测试/拉应力","蠕变测试/温度","试样放置于高温/时间","试样放置于高温/温度"
"ObjectId(""5b4cdf3de6b1a819a85d7191"")","5.47",,,"9.46","4.75wt.%",,"4.00","0.53","57.05","2.83","3.96",,"7.38","0.98","3.77",,,"101.240h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4cdf69e6b1a819a85d71a1"")","5.68",,,"9.84","4.75wt.%",,"4.01","0.55","59.64","3.00",,,"7.66","1.02","3.85",,,"22.190h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4cdf6ee6b1a819a85d71a3"")","5.47",,,"9.46","4.75wt.%",,"4.00","0.53","57.05","2.83","3.96",,"7.38","0.98","3.77",,,"32.340h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4cdf78e6b1a819a85d71a7"")","5.47",,,"9.46","4.75wt.%",,"4.00","0.53","57.05","2.83","3.96",,"7.38","0.98","3.77",,,"149.770h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4cdf8be6b1a819a85d71af"")","5.68",,,"9.84","4.75wt.%",,"4.01","0.55","59.64","3.00",,,"7.66","1.02","3.85",,,"91.170h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4cdf95e6b1a819a85d71b3"")","5.68",,,"9.84","4.75wt.%",,"4.01","0.55","59.64","3.00",,,"7.66","1.02","3.85",,,"64.780h",,,,,,,"",,,,,"Han Y, Ma W, Dong Z, et al. Effect of Ruthenium on Microstructure and Stress Rupture Properties of a Single Crystal Nickel-Base Superalloy[C]// Superalloys. 2008:91-97.","10.11961/mater0203.MGI.20171221.ds.0063","尹海清","摘录","徐斌","2018-01-09",,,,,"镍基铸态合金",,,,,,,,,,,,,,,"137MPa","1100 ℃",,
"ObjectId(""5b4d135ce6b1a819a85d856f"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","35.6803h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"006h","9℃"
"ObjectId(""5b4d1361e6b1a819a85d8571"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","39.0515h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"005h","9℃"
"ObjectId(""5b4d1366e6b1a819a85d8573"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","47.3857h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"003h","9℃"
"ObjectId(""5b4d136be6b1a819a85d8575"")","6","0.013","0.13wt.%","10","8",,"6",,"Balance",,,,"4.3","1",,,"0.08","31.9921h",,,,,,,"",,,,,"Meng Z, Sun G, Li M, et al. The Strengthening Effect of Tantalum in Nickel-Base Superalloys[C]// Superalloys. 1984:563-693.","","10.11961/mater0203.MGI.20171221.ds.0048","摘录","李龙飞","2018-01-09",,,,,"B1900",,,,,,,,,,,,,,,,,"007h","9℃"
