"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/空冷)，试样盘尺寸","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","冷却/油冷温度","冷却/盐浴温度","冷却/空冷","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","固溶（油浴）/温度","固溶（盐浴）/温度","固溶（空冷）/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/温度","拉伸/温度","拉伸实验/温度","拉伸测试/ 温度","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效1/时效时间","时效1/时效温度","时效2/时效时间","时效2/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","材料牌号","标准热处理后油淬/时间","烧结/温度","热处理/固溶温度","热处理/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理后空冷/时间","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","焊前热处理/时间","焊前热处理/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次热处理/温度","第一次热处理后炉冷/时间","第一次轧制/温度","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造和锻轧的/试验温度","锻造（油冷）/锻造温度","锻造（空冷）/锻造温度"
,,,,,"ObjectId(""5b4c8e73e6b1a81674aab325"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,"980.4Mpa",,,,,,,,,,,,,"",,"650℃",,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8e7ce6b1a81674aab329"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,"1001Mpa",,,,,,,,,,,,,"",,"538℃",,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8e86e6b1a81674aab32d"")",,,"0.03",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,"1236Mpa",,,,,,,,,,,,,"",,"RT℃",,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4c8eaee6b1a81674aab33b"")",,,"0.3",,,"8","2",,,"25",,,,"64.97wt.%",,,,,,,,,,,,,,,,"730.2Mpa",,,,,,,,,,,,,"",,"760℃",,,,,,"J. J. BARNES,S. K. SRIVASTAVA.OXIDATION OF GAS TURBINE SEAL RING ALLOYS AND ITS EFFECT ON MECHANICAL PROPERTIES[C].Superalloy.1992:825-833.","10.11961/mater0203.MGI.20171221.ds.0019","尹海清","摘录","张国飞","2018-01-10",,,,,,,,,,,,"HAYNES 242 alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4cac19e6b1a81674aabe57"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"24.6199Mpa",,,,,,,,,,,,,"",,,,,,,"573.251℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cac1ee6b1a81674aabe59"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"24.3952Mpa",,,,,,,,,,,,,"",,,,,,,"593.416℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cac23e6b1a81674aabe5b"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"23.8535Mpa",,,,,,,,,,,,,"",,,,,,,"622.222℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cac2de6b1a81674aabe5f"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"23.5823Mpa",,,,,,,,,,,,,"",,,,,,,"633.745℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cac36e6b1a81674aabe63"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"24.1695Mpa",,,,,,,,,,,,,"",,,,,,,"604.938℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
,,,,,"ObjectId(""5b4cac3be6b1a81674aabe65"")","0.45",,,,"0.29","17.98","Balance",,,"2.91",,,"5.30","52.70wt.%",,,,,"0.98",,,,,,,,,,,"23.4467Mpa",,,,,,,,,,,,,"",,,,,,,"639.506℃","Ruiz C, Obabueki A, Gillespie K. Evaluation of the Microstructure and Mechanical Properties of Delta Processed Alloy 718[C]// Superalloys. 1992:33-42.","10.11961/mater0203.MGI.20171221.ds.0034","张瑞杰","摘录","黄淋","2018-01-09",,,,,,,,,,,,"IN718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325oF","8h",,"100oF","1150oF","8h",,,,,,,,
