"_id","Al","Co","Cr","Hf","Mo","Ni","Re","Ru","Ta","Ti","W","力学性能/蠕变速率","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理/升温速率","热处理/热处理温度","热处理/第一段时间","热处理/第一段温度","热处理/第三段时间","热处理/第三段温度","热处理/第二段时间","热处理/第二段温度","热处理/第四段时间","热处理/第四段温度","第一次时效/第一次时效时间","第一次时效/第一次时效温度","第二次时效/第二次时效时间","第二次时效/第二次时效温度","蠕变实验/压力","蠕变实验/应变","蠕变实验/晶向","蠕变实验/温度","蠕变实验/真空度","蠕变测试/γ相尺寸","蠕变测试/压力","蠕变测试/塑性蠕变应变","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/测试压力","蠕变测试/测试温度","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变应变","蠕变测试/蠕变温度","蠕变测试/试样厚度"
"ObjectId(""5b4cecf7e6b1a819a85d76cb"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.79E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0324121%","980℃","0.2mm"
"ObjectId(""5b4cecffe6b1a819a85d76cd"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.51E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0300251%","980℃","0.2mm"
"ObjectId(""5b4ced08e6b1a819a85d76d1"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.24E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0286432%","980℃","0.2mm"
"ObjectId(""5b4ced12e6b1a819a85d76d5"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","6.39E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0364322%","980℃","0.2mm"
"ObjectId(""5b4ced17e6b1a819a85d76d7"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.24E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0273869%","980℃","0.2mm"
"ObjectId(""5b4ced21e6b1a819a85d76db"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.79E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.033794%","980℃","0.2mm"
"ObjectId(""5b4ced26e6b1a819a85d76dd"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","6.39E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0353015%","980℃","0.2mm"
"ObjectId(""5b4ced34e6b1a819a85d76e3"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","5.79E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0311558%","980℃","0.2mm"
"ObjectId(""5b4ced43e6b1a819a85d76e7"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.19E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0158291%","980℃","0.2mm"
"ObjectId(""5b4ced48e6b1a819a85d76e9"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.52E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0242462%","980℃","0.2mm"
"ObjectId(""5b4ced4ce6b1a819a85d76eb"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.52E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0168342%","980℃","0.2mm"
"ObjectId(""5b4ced51e6b1a819a85d76ed"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.52E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0178392%","980℃","0.2mm"
"ObjectId(""5b4ced56e6b1a819a85d76ef"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","2.89E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0139447%","980℃","0.2mm"
"ObjectId(""5b4ced5ce6b1a819a85d76f1"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.89E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0189698%","980℃","0.2mm"
"ObjectId(""5b4ced61e6b1a819a85d76f3"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.52E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0233668%","980℃","0.2mm"
"ObjectId(""5b4ced66e6b1a819a85d76f5"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.03E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0148241%","980℃","0.2mm"
"ObjectId(""5b4ced6be6b1a819a85d76f7"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","3.89E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0199749%","980℃","0.2mm"
"ObjectId(""5b4ced6fe6b1a819a85d76f9"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","2.75E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0130653%","980℃","0.2mm"
"ObjectId(""5b4ced74e6b1a819a85d76fb"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.75E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0253769%","980℃","0.2mm"
"ObjectId(""5b4ced79e6b1a819a85d76fd"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.30E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0222362%","980℃","0.2mm"
"ObjectId(""5b4ced7ee6b1a819a85d76ff"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.75E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0263819%","980℃","0.2mm"
"ObjectId(""5b4ced83e6b1a819a85d7701"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","4.09E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0211055%","980℃","0.2mm"
"ObjectId(""5b4ced88e6b1a819a85d7703"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","2.61E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.0123116%","980℃","0.2mm"
"ObjectId(""5b4ced92e6b1a819a85d7705"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","1.24E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00226131%","980℃","0.2mm"
"ObjectId(""5b4ced96e6b1a819a85d7707"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","1.51E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00188442%","980℃","0.2mm"
"ObjectId(""5b4ced9be6b1a819a85d7709"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","2.14E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00929648%","980℃","0.2mm"
"ObjectId(""5b4ceda0e6b1a819a85d770b"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","1.76E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00778894%","980℃","0.2mm"
"ObjectId(""5b4ceda5e6b1a819a85d770d"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","1.67E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00703518%","980℃","0.2mm"
"ObjectId(""5b4cedaae6b1a819a85d770f"")","6.2","8.0","7.0","0.2","2.0","61.6wt.%","3.0",,"7.0",,"5.0","1.12E-71/s","","Hüttner R, Völkl R, Gabel J, et al. Creep behavior of thick and thin walled structures of a single crystal Ni-base superalloy at high temperatures - Experimental method and results[J]. Strain, 2008, 1:719-723.","10.11961/mater0203.MGI.20171221.ds.0058","尹海清","摘录","史政涛","2018-01-09","René N5",,,,,,,,,,,,,,,,,,,,,,,,"16°[001]",,,,"230Mpa","0.00351759%","980℃","0.2mm"
